recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
1441_1831_garrison_bergelson_2020_17,1441,garrison_bergelson_2020,17,0.643579590004279,0.23747303232929198,15,NA,NA,NA,1.4,0.50709255283711,15,0.3333333333333333,0.5163977794943222,6,1,0,9,159.44444444444446,113.72786719963484,9,1.6,15,104,59.98214019903877,15,212,NA,1,107.46666666666667,57.113754493825326,-8,all
1442_1832_garrison_bergelson_2020_18,1442,garrison_bergelson_2020,18,0.7337467226431179,0.262233569724021,15,NA,NA,NA,1.2,0.4140393356054125,15,0.5,0.5477225575051661,6,0.8888888888888888,0.3333333333333333,9,115,135.62026818605375,8,1,15,130.8,68.13767575389446,15,210.5,3,4,133.6,65.27392828906281,-7,all
1443_1833_garrison_bergelson_2020_17,1443,garrison_bergelson_2020,17,0.6967890256839698,0.13730645640345093,14,NA,NA,NA,2.0714285714285716,0.8287419301647448,14,0.14285714285714285,0.3779644730092272,7,1,0,6,365,231.8404623873926,6,2.857142857142857,14,89.5,56.54825486436454,14,NA,NA,NA,104,49.97230001941845,-8,all
1444_1834_garrison_bergelson_2020_14,1444,garrison_bergelson_2020,14,0.6418983340024087,0.21875252731609385,16,NA,NA,NA,1.75,0.6831300510639732,16,0.25,0.4629100498862757,8,1,0,7,250.71428571428572,219.78073488950625,7,2.0625,16,87.08333333333333,52.7548488205025,16,208,5.656854249492381,2,102,50.82256716590902,-11,all
1445_1835_garrison_bergelson_2020_13,1445,garrison_bergelson_2020,13,0.489384350951209,0.3026164804479511,14,NA,NA,NA,1.5833333333333333,0.6685579234215214,12,0,0,5,0.5714285714285714,0.5345224838248488,7,302.5,214.57321982639553,4,1.5714285714285714,14,82.75,54.117926789558375,12,204,NA,1,95.83333333333333,54.54911603872294,-12,all
1446_1836_garrison_bergelson_2020_14,1446,garrison_bergelson_2020,14,0.5857533102816121,0.4445894413487826,15,NA,NA,NA,1.3,0.48304589153964794,10,0.6,0.5163977794943222,10,0.2,0.44721359549995793,5,640,NA,1,0.5333333333333333,15,157.6,64.78545790187451,10,212,0,5,171.6,49.20523910678166,-11,all
1447_1837_garrison_bergelson_2020_17,1447,garrison_bergelson_2020,17,0.7591344713986223,0.24250247379595893,16,NA,NA,NA,1.2,0.4140393356054125,15,0.3333333333333333,0.5163977794943222,6,0.9,0.31622776601683794,10,353.8888888888889,255.90254221306813,9,1.0625,16,146.06666666666666,47.75453107397494,15,206,8.48528137423857,2,155.33333333333334,36.132033011218866,-8,all
1526_1916_frank_tablet_2016_14,1526,frank_tablet_2016,14,0.45751633986928103,0.4735099671948962,8,NA,NA,NA,1.4,0.5477225575051661,5,0.6666666666666666,0.5773502691896257,3,0.25,0.5,4,1415,NA,1,0.375,8,353.33333333333337,270.181908885271,5,402.08333333333337,261.2625152061655,4,393.33333333333337,271.0191670138643,-11,all
1528_1918_frank_tablet_2016_15,1528,frank_tablet_2016,15,0.7325089126559715,0.375010061686969,4,NA,NA,NA,1,0,3,1,NA,1,1,0,2,527.5,335.87572106361006,2,0.25,4,661.1111111111111,201.09653108598073,3,661.1111111111111,201.09653108598073,3,661.1111111111111,201.09653108598073,-10,all
1530_1920_frank_tablet_2016_17,1530,frank_tablet_2016,17,0.525064067222796,0.39958091833769904,10,NA,NA,NA,1.4444444444444444,0.5270462766947299,9,0.2,0.44721359549995793,5,0.6666666666666666,0.5773502691896257,3,565,707.1067811865476,2,1,10,277.77777777777783,167.2904991657061,9,383.33333333333337,123.0401921686117,6,316.6666666666667,191.75722498339755,-8,all
1533_1923_frank_tablet_2016_20,1533,frank_tablet_2016,20,0.7395714476970849,0.25480052124396674,7,NA,NA,NA,1.5714285714285714,0.7867957924694432,7,0.6666666666666666,0.5773502691896257,3,1,0,3,540,217.94494717703367,3,1.2857142857142858,7,349.60317460317464,170.19172325098342,7,445.83333333333337,111.2741858853366,6,408.33333333333337,141.9930879903562,-5,all
1535_1925_frank_tablet_2016_22,1535,frank_tablet_2016,22,0.54922823076351,0.2739244208578322,12,NA,NA,NA,1.6,0.699205898780101,10,0,0,5,0.8333333333333334,0.408248290463863,6,430,236.90715480964266,5,1.3333333333333333,12,217.91666666666669,93.3566852400638,10,284.375,56.42059668382399,8,250.00000000000003,90.09597077903808,-3,all
1536_1926_frank_tablet_2016_22,1536,frank_tablet_2016,22,0.4107945289738824,0.27304496465180633,12,NA,NA,NA,1.3,0.48304589153964794,10,0,0,4,0.7142857142857143,0.4879500364742666,7,625,313.04951684997053,5,1.5833333333333333,12,312.5,191.26366650113346,10,403.12500000000006,173.83041704169295,8,350.83333333333337,189.478247228645,-3,all
1540_1930_frank_tablet_2016_24,1540,frank_tablet_2016,24,0.5891627282073687,0.33619505041729186,15,NA,NA,NA,1.0769230769230769,0.2773500981126146,13,0.5714285714285714,0.5345224838248488,7,0.4,0.5477225575051661,5,915,176.7766952966369,2,0.6,15,447.7564102564103,233.9192506228716,13,470.1388888888889,229.19650861714618,12,448.0769230769231,233.63457355475873,-1,all
1542_1932_frank_tablet_2016_26,1542,frank_tablet_2016,26,0.6978328983104473,0.2262071559309138,16,NA,NA,NA,1.3125,0.47871355387816905,16,0.4,0.5477225575051661,5,1,0,10,412.5,298.94490387955364,10,1.375,16,491.40625,245.61180579019106,16,535.4166666666667,223.90680931865217,16,539.5833333333334,219.47960337192222,1,all
1545_1935_frank_tablet_2016_27,1545,frank_tablet_2016,27,0.5605919534958881,0.37573459951507543,10,NA,NA,NA,1.5714285714285714,1.1338934190276817,7,0.5,0.7071067811865476,2,0.6,0.5477225575051661,5,815,330.7189138830738,3,0.5,10,233.63095238095238,152.8776279046631,7,341.6666666666667,123.18121249245404,5,269.04761904761904,159.84036348476502,2,all
1546_1936_frank_tablet_2016_28,1546,frank_tablet_2016,28,0.721431803810397,0.2274860514464875,15,NA,NA,NA,1.1333333333333333,0.3518657752744984,15,0.7142857142857143,0.4879500364742666,7,1,0,6,406.6666666666667,130.06408676751116,6,1.1333333333333333,15,536.3888888888889,206.02571178215575,15,562.2222222222223,205.40481388258058,15,562.2222222222223,205.40481388258058,3,all
1550_1940_frank_tablet_2016_32,1550,frank_tablet_2016,32,0.5062825957562473,0.25963149980373573,13,NA,NA,NA,2.1818181818181817,1.7215215257545762,11,0.4,0.5477225575051661,5,0.7142857142857143,0.4879500364742666,7,505,431.05974063927613,5,1.3076923076923077,13,156.92640692640694,72.84910510794097,11,338.8888888888889,151.45895422461763,3,197.72727272727275,116.49337779765455,7,all
1551_1941_frank_tablet_2016_34,1551,frank_tablet_2016,34,0.6425808661392637,0.19755268978635993,11,NA,NA,NA,2.090909090909091,0.9438798074485389,11,0.25,0.5,4,1,0,4,527.5,445.580146176495,4,2,11,199.11616161616163,109.85096653414048,11,345.83333333333337,140.31215200402283,6,255.3030303030303,147.67986807396412,9,all
