recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.677688376017587,0.1458285692379858,8,0.169811320754717,0.1600996485705391,2,1.875,0.8345229603962802,8,0.25,0.4629100498862757,8,NA,NA,NA,NA,NA,NA,1.5,8,989.2361111111112,469.77526030433273,8,943.7500000000001,468.61307523981264,8,1158.3333333333335,384.5219666769935,0.15625,0.13391761859975174,8,0.08839583333333334,0.046051833072800544,8,495.375,139.9876907853993,8,21,target
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.7035403761597073,0.2906434901005738,11,0.5660377358490567,0.0978386741264406,2,1.1818181818181819,0.40451991747794525,11,0.5454545454545454,0.5222329678670935,11,NA,NA,NA,NA,NA,NA,0.7272727272727273,11,1546.2121212121215,820.9527293568028,11,1524.2424242424245,854.5097241616791,11,1577.2727272727275,783.8392950114459,0.0945454545454545,0.1148793833865446,11,0.051874384236453276,0.09889509510344793,11,339.1818181818182,174.23249879504004,11,19.333333333333336,target
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,0.760397881585628,0.3405064419767227,9,0.6352201257861635,0.24325886296621027,4,1.7777777777777777,0.8333333333333334,9,0.6666666666666666,0.5,9,NA,NA,NA,NA,NA,NA,0.3333333333333333,9,825.925925925926,741.3792097948589,9,859.2592592592594,754.4364669844966,9,951.851851851852,707.374078136705,0.17499999999999993,0.15953056133543822,9,0.13164814814814793,0.12007583525180984,9,396.22222222222223,158.0812906211372,9,19,target
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.7473856885113044,0.3146511501698329,8,0.5094339622641509,0.2623176875511212,6,1.375,1.0606601717798212,8,0.625,0.5175491695067657,8,NA,NA,NA,NA,NA,NA,0.5,8,1786.4583333333335,1014.4583500802875,8,1810.4166666666667,977.969125847596,8,1810.4166666666667,977.969125847596,0.1300000000000001,0.22577643809751288,7,0.07251190476190462,0.18151508985182288,7,471,139.46564690513097,7,15.43333333333333,target
CompMix36_S07_535140000_E2,535140000,CompMix-36,41.266666666666666,50,50,50,0.5654761904761905,0.43753036823659647,3,-0.1289308176100629,0.23570226039551584,2,1.5,0.7071067811865476,2,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,0.3333333333333333,3,991.6666666666667,82.49579113843052,2,1133.3333333333335,282.8427124746191,2,1133.3333333333335,282.8427124746191,0.20666666666666686,0.1185678427455494,3,0.09180555555555554,0.03885338657244909,3,538.3333333333334,82.37313477908518,3,16.266666666666666,target
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.5559594235784329,0.2443181439286022,9,0.1540880503144654,0.18664522075859336,6,1.5555555555555556,0.5270462766947299,9,0.3333333333333333,0.5,9,NA,NA,NA,NA,NA,NA,1.2222222222222223,9,921.2962962962963,502.18465628924355,9,992.5925925925926,488.9125625581332,9,1020.3703703703704,480.86855574183113,0.04555555555555557,0.13958519899250676,9,-0.027527777777777866,0.10058869255261456,9,398,259.6627620587904,9,13,target
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.7587122938874579,0.10844121942902804,8,0.6352201257861636,0.08449703674556235,2,1.375,0.5175491695067657,8,0.25,0.4629100498862757,8,NA,NA,NA,NA,NA,NA,1.375,8,1485.4166666666667,495.71076916551516,8,1635.4166666666667,389.89594664006086,8,1635.4166666666667,389.89594664006086,0.10937499999999983,0.10335229280752029,8,0.07780352011494246,0.07421448078804659,8,422.625,197.4624286143714,8,23,target
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.6612930418102831,0.3412135125988681,6,0.21517790161826172,0.4344152398522087,4,1.1666666666666667,0.408248290463863,6,0.5,0.5477225575051661,6,NA,NA,NA,NA,NA,NA,0.8333333333333334,6,1412.5000000000002,861.5836517070696,6,1344.4444444444446,912.9115003150127,6,1480.5555555555557,840.7282997937408,0.12250000000000005,0.126441686164018,6,0.049576058201058405,0.055203186972826494,6,416.3333333333333,239.19838349509527,6,-3.6999999999999993,target
Mix_14_S23,55704000,Mix-14,14.3,77,23,77,0.6056934961249614,0.15159467669910545,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,NA,NA,NA,1.3333333333333333,3,1030.5555555555557,355.1538529415938,3,977.7777777777778,433.7604732431808,3,1083.3333333333335,284.3120351538663,0.04499999999999993,0.06946221994724908,3,0.0011944444444442759,0.08610056835102996,3,572,135.2442235365341,3,-10.7,target
Mix_20_S41,40632000,Mix-20,20.5,29,71,29,0.9255203225454942,0.13434322709175364,4,NA,NA,NA,1.25,0.5,4,1,0,4,NA,NA,NA,NA,NA,NA,0.25,4,1789.5833333333335,565.8235148878138,4,1841.6666666666667,476.58118891709285,4,1841.6666666666667,476.58118891709285,-0.008750000000000147,0.11130850521560925,4,-0.05427083333333338,0.1380046358420211,4,362,225.29240259419905,4,-4.5,target
