recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
111_111_pomper_saffran_2016_42,16,111,pomper_saffran_2016,42,orange,orange,distractor,28,66,0.2978723404255319,NA,1,1,NA,390,2,600,600,600,17,all
112_112_pomper_saffran_2016_43,1,112,pomper_saffran_2016,43,orange,orange,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,18,all
112_112_pomper_saffran_2016_43,2,112,pomper_saffran_2016,43,red,red,distractor,92,11,0.8932038834951457,NA,1,1,NA,15,0,3066.666666666667,3066.666666666667,3066.666666666667,18,all
112_112_pomper_saffran_2016_43,3,112,pomper_saffran_2016,43,yellow,yellow,distractor,61,0,1,0.5754716981132075,1,1,NA,90,0,2033.3333333333335,2033.3333333333335,2033.3333333333335,18,all
112_112_pomper_saffran_2016_43,4,112,pomper_saffran_2016,43,white,white,distractor,45,33,0.5769230769230769,0.28301886792452835,1,1,NA,115,1,1500,1500,1500,18,all
112_112_pomper_saffran_2016_43,5,112,pomper_saffran_2016,43,red,red,target,97,4,0.9603960396039604,NA,1,NA,0,NA,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,18,all
112_112_pomper_saffran_2016_43,6,112,pomper_saffran_2016,43,black,black,distractor,105,0,1,0.9905660377358491,1,1,NA,40,0,3500.0000000000005,3500.0000000000005,3500.0000000000005,18,all
112_112_pomper_saffran_2016_43,7,112,pomper_saffran_2016,43,orange,orange,target,96,0,1,NA,1,NA,1,NA,0,3200,3200,3200,18,all
112_112_pomper_saffran_2016_43,8,112,pomper_saffran_2016,43,brown,brown,distractor,75,15,0.8333333333333334,0.3962264150943396,1,1,NA,140,1,2500,2500,2500,18,all
113_113_pomper_saffran_2016_42,1,113,pomper_saffran_2016,42,green,green,distractor,87,16,0.8446601941747572,NA,1,1,NA,490,1,2900,2900,2900,17,all
113_113_pomper_saffran_2016_42,2,113,pomper_saffran_2016,42,blue,blue,distractor,67,13,0.8375,NA,1,1,NA,415,1,2233.3333333333335,2233.3333333333335,2233.3333333333335,17,all
113_113_pomper_saffran_2016_42,3,113,pomper_saffran_2016,42,black,black,distractor,83,20,0.8058252427184466,0.7169811320754718,1,1,NA,590,1,2766.666666666667,2766.666666666667,2766.666666666667,17,all
113_113_pomper_saffran_2016_42,4,113,pomper_saffran_2016,42,brown,brown,distractor,40,34,0.5405405405405406,-0.12264150943396224,1,1,NA,190,1,1333.3333333333335,1333.3333333333335,1333.3333333333335,17,all
113_113_pomper_saffran_2016_42,5,113,pomper_saffran_2016,42,yellow,yellow,target,77,7,0.9166666666666666,0.5377358490566038,1,NA,0,NA,0,2566.666666666667,2566.666666666667,2566.666666666667,17,all
