recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
477_807_swingley_aslin_2002_15,477,swingley_aslin_2002,15,0.5691597433210253,0.32230078903144616,22,0.07927148846960169,0.2890484617804611,6,1.3333333333333333,0.48507125007266594,18,0.3,0.48304589153964794,10,0.75,0.45226701686664544,12,453.8888888888889,305.4482134685209,9,1.0454545454545454,22,1864.814814814815,855.5831419031042,18,1800.0000000000002,974.7129626085436,18,1974.0740740740741,773.4614122771555,-10,all
478_808_swingley_aslin_2002_15,478,swingley_aslin_2002,15,0.6214576655966725,0.3552716684425652,20,0.11595911949685535,0.4002197038878618,6,1.1176470588235294,0.3321055820775357,17,0.75,0.4629100498862757,8,0.5,0.5270462766947299,10,500,359.0786821853951,5,0.75,20,2399.0196078431372,1026.0914004568517,17,2441.1764705882356,968.9290631474344,17,2441.1764705882356,968.9290631474344,-10,all
479_809_swingley_aslin_2002_14,479,swingley_aslin_2002,14,0.5431325309394217,0.17540474217225083,20,0.08582285115303982,0.23252713834542477,6,1.3,0.47016234598162726,20,0.2222222222222222,0.44095855184409843,9,1,0,9,748.3333333333334,443.5298749802543,9,1.45,20,1581.6666666666667,772.1940337318039,20,1460,872.5575769805675,20,1641.6666666666667,731.167055574781,-11,all
480_810_swingley_aslin_2002_14,480,swingley_aslin_2002,14,0.6084886696121375,0.24802942896737068,16,0.32586477987421386,0.32316800481034014,6,1.25,0.44721359549995793,16,0.6,0.5477225575051661,5,1,0,11,521.8181818181819,359.00747016791115,11,1.4375,16,1786.4583333333335,942.8133382280614,16,1747.9166666666667,995.6921099304633,16,1847.9166666666667,919.5787078874761,-11,all
481_811_swingley_aslin_2002_14,481,swingley_aslin_2002,14,0.5513467424903571,0.22290649907810117,20,0.12067610062893082,0.16266386309292857,6,1.3,0.47016234598162726,20,0.625,0.5175491695067657,8,0.9090909090909091,0.30151134457776363,11,882.5,393.5327884122943,10,1.6,20,1505,738.8963636784999,20,1556.6666666666667,763.578831280011,20,1635,747.6649811089244,-11,all
482_812_swingley_aslin_2002_15,482,swingley_aslin_2002,15,0.5137995462140837,0.2658620231682938,14,0.1808176100628931,0.1807697502972299,4,1.5384615384615385,0.5188745216627708,13,0.2222222222222222,0.44095855184409843,9,0.8,0.44721359549995793,5,640,466.8154524720306,4,1.6428571428571428,14,1378.2051282051284,996.0194994601478,13,1210.2564102564104,1084.8608560193686,13,1466.6666666666667,955.781627004055,-10,all
483_813_swingley_aslin_2002_14,483,swingley_aslin_2002,14,0.6101408530805995,0.2762762608091531,17,0.232311320754717,0.33686707871380667,6,1.2666666666666666,0.45773770821706344,15,0.25,0.4629100498862757,8,0.8888888888888888,0.3333333333333333,9,474.375,297.2905925665517,8,1,17,1947.7777777777778,866.8009663953516,15,1712.5,1040.788518739874,16,2093.3333333333335,797.635394288783,-11,all
484_814_swingley_aslin_2002_14,484,swingley_aslin_2002,14,0.5025504458426493,0.31638090604691005,23,0.02371593291404615,0.2150380230963517,6,1,0,20,0.6,0.5163977794943222,10,0.6923076923076923,0.4803844614152614,13,617.7777777777778,272.55860735710485,9,1.0869565217391304,23,1983.3333333333335,947.542219275712,20,1916.6666666666667,1020.0619176253341,20,1983.3333333333335,947.542219275712,-11,all
485_815_swingley_aslin_2002_14,485,swingley_aslin_2002,14,0.5718337460051351,0.3776752610712653,15,0.23637316561844862,0.34295284728269004,6,1.3333333333333333,0.49236596391733095,12,0.5,0.5345224838248488,8,0.6666666666666666,0.5163977794943222,6,696.25,511.68634598420414,4,0.9333333333333333,15,1883.3333333333335,1131.951028672677,12,1664.1025641025642,1243.2381210536562,13,1972.2222222222224,1087.8422097899463,-11,all
486_816_swingley_aslin_2002_15,486,swingley_aslin_2002,15,0.5044648559029494,0.15306850128572505,20,0.05096960167714884,0.28252508316334973,6,1.25,0.4442616583193193,20,0.09090909090909091,0.30151134457776363,11,1,0,8,440,403.5556254807296,8,1.75,20,1300,650.1236949330876,20,1120,738.2926407542018,20,1383.3333333333335,622.9058483482338,-10,all
487_817_swingley_aslin_2002_14,487,swingley_aslin_2002,14,0.522488837727142,0.2152452198261092,23,0.011530398322851168,0.1350368681652557,6,1.3043478260869565,0.47047196889696474,23,0.125,0.3535533905932738,8,1,0,13,613.0769230769231,398.4947639845183,13,1.608695652173913,23,1431.1594202898552,728.2590342074029,23,1371.0144927536232,792.1524409350784,23,1523.1884057971015,711.6941505308782,-11,all
488_818_swingley_aslin_2002_14,488,swingley_aslin_2002,14,0.606967861614983,0.3254303575101124,21,0.25681341719077566,0.2712934775658392,6,1.2105263157894737,0.4188539082916955,19,0.5454545454545454,0.5222329678670935,11,0.9,0.31622776601683794,10,478.8888888888889,313.7751760594058,9,0.8571428571428571,21,1988.5964912280704,1066.927812818085,19,2063.157894736842,1044.615514172388,19,2089.4736842105262,1016.047329969496,-11,all
969_1299_potter_remix_23,969,potter_remix,23,0.8668019535528825,0.23292910760323204,16,0.6998820754716981,0.2194998762461484,8,1,0,15,0.7777777777777778,0.44095855184409843,9,1,0,7,318.57142857142856,159.7058307669209,7,0.25,16,2726.666666666667,527.6783532081305,15,2622.222222222222,796.5866334243028,15,2726.666666666667,527.6783532081305,-2,all
970_1300_potter_remix_20,970,potter_remix,20,0.6557329361568197,0.34035353288755693,15,0.27181603773584906,0.2984126398479362,8,1.1538461538461537,0.3755338080994054,13,0.5555555555555556,0.5270462766947299,9,0.5,0.5477225575051661,6,973.3333333333334,475.21924764610844,3,0.6666666666666666,15,2033.3333333333335,767.3909622147559,13,2005.1282051282053,820.2129526831967,13,2112.8205128205127,675.8449391438704,-5,all
