recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
414_744_xsectional_2007_31,414,xsectional_2007,31,0.8164024221368149,0.17771850101422923,8,NA,NA,NA,1.125,0.3535533905932738,8,0.625,0.5175491695067657,8,NA,NA,NA,NA,NA,NA,0.75,8,2597.916666666667,974.1271021335517,8,2645.8333333333335,880.8252804064916,8,2645.8333333333335,880.8252804064916,6,target
415_745_xsectional_2007_16,415,xsectional_2007,16,0.7986666666666666,0.2824161625843834,5,NA,NA,NA,1.4,0.5477225575051661,5,0.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,0.6,5,2186.666666666667,1250.466579588062,5,2446.666666666667,1067.8639114294167,5,2446.666666666667,1067.8639114294167,-9,target
416_746_xsectional_2007_25,416,xsectional_2007,25,0.9448611111111112,0.1176698179951826,8,NA,NA,NA,1,0,8,1,0,8,NA,NA,NA,NA,NA,NA,0.125,8,3295.8333333333335,477.9046527738113,8,3295.8333333333335,477.9046527738113,8,3295.8333333333335,477.9046527738113,0,target
417_747_xsectional_2007_37,417,xsectional_2007,37,0.815470212024257,0.28654094803556274,9,NA,NA,NA,1,0,9,0.6666666666666666,0.5,9,NA,NA,NA,NA,NA,NA,0.3333333333333333,9,2718.5185185185187,1009.2779474994201,9,2414.814814814815,1287.0197174427515,9,2718.5185185185187,1009.2779474994201,12,target
418_748_xsectional_2007_15,418,xsectional_2007,15,0.6373440285204991,0.44813295985720397,5,NA,NA,NA,1,0,4,0.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,0.4,5,2658.3333333333335,1307.634278920298,4,2658.3333333333335,1307.634278920298,4,2658.3333333333335,1307.634278920298,-10,target
419_749_xsectional_2007_28,419,xsectional_2007,28,0.9389473684210526,0.19306537293659579,10,NA,NA,NA,1,0,10,0.9,0.31622776601683794,10,NA,NA,NA,NA,NA,NA,0.1,10,3303.3333333333335,727.3238618387272,10,3303.3333333333335,727.3238618387272,10,3303.3333333333335,727.3238618387272,3,target
420_750_xsectional_2007_31,420,xsectional_2007,31,0.5681895208915556,0.40590524357863433,7,NA,NA,NA,1,0,7,0.42857142857142855,0.5345224838248488,7,NA,NA,NA,NA,NA,NA,0.7142857142857143,7,1904.7619047619048,1523.9360066554475,7,1904.7619047619048,1523.9360066554475,7,1904.7619047619048,1523.9360066554475,6,target
421_751_xsectional_2007_21,421,xsectional_2007,21,0.7547085105206599,0.3364648329780971,12,NA,NA,NA,1.0833333333333333,0.28867513459481287,12,0.6666666666666666,0.49236596391733095,12,NA,NA,NA,NA,NA,NA,0.5833333333333334,12,2480.5555555555557,1289.5428939825445,12,2447.222222222222,1329.2709578792728,12,2513.888888888889,1259.1851087299033,-4,target
422_752_xsectional_2007_18,422,xsectional_2007,18,0.790615887485681,0.28874539260609716,13,NA,NA,NA,1,0,13,0.6923076923076923,0.4803844614152614,13,NA,NA,NA,NA,NA,NA,0.38461538461538464,13,2671.794871794872,1085.1562572109615,13,2671.794871794872,1085.1562572109615,13,2671.794871794872,1085.1562572109615,-7,target
423_753_xsectional_2007_19,423,xsectional_2007,19,0.9891666666666666,0.03752776749732568,12,NA,NA,NA,1,0,12,1,0,12,NA,NA,NA,NA,NA,NA,0.08333333333333333,12,3480.5555555555557,182.82758524338155,12,3480.5555555555557,182.82758524338155,12,3480.5555555555557,182.82758524338155,-6,target
424_754_xsectional_2007_26,424,xsectional_2007,26,0.6383742844152566,0.3089371571136509,11,NA,NA,NA,1,0,11,0.36363636363636365,0.504524979109513,11,NA,NA,NA,NA,NA,NA,0.6363636363636364,11,2157.5757575757575,1148.631157227391,11,2157.5757575757575,1148.631157227391,11,2157.5757575757575,1148.631157227391,1,target
425_755_xsectional_2007_34,425,xsectional_2007,34,0.8363553502321618,0.19080605531274542,9,NA,NA,NA,1.1111111111111112,0.3333333333333333,9,0.6666666666666666,0.5,9,NA,NA,NA,NA,NA,NA,0.6666666666666666,9,2596.2962962962965,969.8860821486609,9,2511.1111111111113,1120.0198410940961,9,2681.4814814814818,870.3624901140506,9,target
426_756_xsectional_2007_27,426,xsectional_2007,27,0.9452452830188679,0.07854705877012988,5,NA,NA,NA,1,0,5,1,0,5,NA,NA,NA,NA,NA,NA,0.2,5,3306.666666666667,341.07672646097285,5,3306.666666666667,341.07672646097285,5,3306.666666666667,341.07672646097285,2,target
427_757_xsectional_2007_28,427,xsectional_2007,28,0.9208333333333333,0.27424137786507224,12,NA,NA,NA,1,0,11,0.9166666666666666,0.28867513459481287,12,NA,NA,NA,NA,NA,NA,0,12,3384.848484848485,440.0413203738526,11,3221.2121212121215,981.1866655877834,11,3384.848484848485,440.0413203738526,3,target
428_758_xsectional_2007_26,428,xsectional_2007,26,0.7944597571459273,0.21098745742613137,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.5345224838248488,8,NA,NA,NA,NA,NA,NA,0.625,8,2554.166666666667,1007.7379194441947,8,2500,1117.1107858831674,8,2608.3333333333335,911.0869141192651,1,target
