recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
16_16_casillas_tseltal_2015_41,16,casillas_tseltal_2015,41,0.6781778338702118,0.3245787823654241,21,NA,NA,NA,1.0952380952380953,0.30079260375911915,21,0.5238095238095238,0.511766315719159,21,NA,NA,NA,NA,NA,NA,0.6666666666666666,21,2647.6190476190477,1467.0988540718881,21,2550.4761904761904,1512.2912291965335,21,2700.9523809523807,1434.4682107384072,16,target
17_17_casillas_tseltal_2015_32,17,casillas_tseltal_2015,32,0.7447172295675307,0.2363541870598658,18,NA,NA,NA,1.2222222222222223,0.4277926319464986,18,0.5555555555555556,0.5113099925649136,18,NA,NA,NA,NA,NA,NA,0.8333333333333334,18,2651.1111111111113,1110.7860962552543,18,2626.6666666666665,1172.388211151519,18,2780,996.7712582014344,7,target
18_18_casillas_tseltal_2015_32,18,casillas_tseltal_2015,32,0.7335002038575256,0.2880403350070116,11,NA,NA,NA,1.4,0.5163977794943222,10,0.6363636363636364,0.504524979109513,11,NA,NA,NA,NA,NA,NA,0.9090909090909091,11,2752,1379.9903381304282,10,2908,1250.215981340824,10,2960,1174.2420723362131,7,target
19_19_casillas_tseltal_2015_35,19,casillas_tseltal_2015,35,0.6212480943794522,0.3382454548684644,14,NA,NA,NA,1.3333333333333333,0.49236596391733095,12,0.5,0.5188745216627708,14,NA,NA,NA,NA,NA,NA,1,14,2315,1263.1598185790772,12,2011.4285714285713,1416.337949365612,14,2513.3333333333335,1166.5437164651148,10,target
20_20_casillas_tseltal_2015_36,20,casillas_tseltal_2015,36,0.6303859908399355,0.24374937705354813,15,NA,NA,NA,1.1333333333333333,0.3518657752744984,15,0.4666666666666667,0.5163977794943222,15,NA,NA,NA,NA,NA,NA,1.2,15,2306.6666666666665,1094.7841709452969,15,1930.6666666666667,1400.609391181805,15,2365.3333333333335,1074.3627125395028,11,target
21_21_casillas_tseltal_2015_26,21,casillas_tseltal_2015,26,0.876864856223794,0.22647694847934893,18,NA,NA,NA,1.3333333333333333,0.48507125007266594,18,0.8333333333333334,0.3834824944236852,18,NA,NA,NA,NA,NA,NA,0.3888888888888889,18,2983.3333333333335,1311.1692132910812,18,3120,1250.9196616889512,18,3186.6666666666665,1151.9803919899903,1,target
22_22_casillas_tseltal_2015_36,22,casillas_tseltal_2015,36,0.6995671102645689,0.362762544311525,17,NA,NA,NA,1.1764705882352942,0.3929526239966879,17,0.5882352941176471,0.5072996561958923,17,NA,NA,NA,NA,NA,NA,0.5294117647058824,17,2505.8823529411766,1561.2617446456945,17,2562.3529411764707,1539.1212160343507,17,2592.9411764705883,1526.4491667997102,11,target
23_23_ronfard_2021_22,23,ronfard_2021,22,0.7811965811965812,0.31809768555965207,10,0.7241379310344828,0.04876598490941701,2,1,0,9,0.6,0.5163977794943222,10,NA,NA,NA,NA,NA,NA,0.3,10,1496.2962962962965,540.6900026931752,9,1370.0000000000002,647.5881178421748,10,1496.2962962962965,540.6900026931752,-3,target
24_24_ronfard_2021_19,24,ronfard_2021,19,0.9055555555555556,0.2986595567936803,10,0.5431034482758621,0.5283294291739504,4,1,0,9,0.9,0.31622776601683794,10,NA,NA,NA,NA,NA,NA,0,10,1933.3333333333335,0,9,1933.3333333333335,0,9,1933.3333333333335,0,-6,target
25_25_ronfard_2021_20,25,ronfard_2021,20,0.3687935543940446,0.31910832901989283,12,-0.14870689655172414,0.2767745837419643,8,1,0,6,0.08333333333333333,0.28867513459481287,12,NA,NA,NA,NA,NA,NA,0.4166666666666667,12,1055.5555555555557,514.0975552327558,6,781.4814814814815,578.0982017479363,9,1055.5555555555557,514.0975552327558,-5,target
