recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.7089751901462084,0.10997736006745137,8,0.36242138364779874,0.16132806668205263,8,1.375,0.7440238091428449,8,0,0,3,1,0,3,548,208.54495918146762,3,1.375,8,1388.5416666666667,578.9107433875483,8,1391.6666666666667,560.3287017173526,8,1427.0833333333335,518.9991512975903,0.2431250000000001,0.1659590633689094,8,0.06899376351207326,0.12292676395815744,8,689.125,473.95371609472585,8,21,all
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.76544876160307,0.2581189292774967,6,0.5408805031446541,0.19439287431997707,4,1.1666666666666667,0.408248290463863,6,0.75,0.5,4,1,0,2,503,70.71067811865476,2,0.8333333333333334,6,1765.2777777777778,789.0996392983213,6,1716.6666666666667,881.8541073594128,6,1813.888888888889,704.3055418611274,0.18916666666666684,0.1407628028517004,6,0.07098849213104826,0.12128799159136602,6,707.8333333333334,351.2203961427449,6,19.333333333333336,all
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,0.9193548387096774,0.1396815167394256,3,0.7012578616352201,0.15565243611024634,2,2.3333333333333335,1.5275252316519468,3,1,0,2,1,NA,1,504,NA,1,0.3333333333333333,3,1262.5,1220.6200041144846,3,1350,1125.9563836036357,3,1394.4444444444446,1090.5316406502193,0.2233333333333333,0.10492060490358056,3,0.07757891100055254,0.18899696699774887,3,877,491.5190738923567,3,19,all
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.8449645728843245,0.11489354730261321,5,0.8647798742138365,0.004447212460292751,2,1,0,5,1,NA,1,1,0,4,511.75,243.30690495750423,4,0.8,5,2233.3333333333335,302.76503540974915,5,2233.3333333333335,302.76503540974915,5,2233.3333333333335,302.76503540974915,-0.015999999999999837,0.27828492593024157,5,-0.11058809523809528,0.21734178181933084,5,309.8,343.9108896211343,5,15.43333333333333,all
CompMix36_S07_535140000_E2,535140000,CompMix-36,41.266666666666666,50,50,50,0.6918460874048107,0.24122311750424003,5,0.4088050314465409,0.08894424920585506,2,1.8,1.0954451150103321,5,NA,NA,NA,1,0,2,411.5,106.77312395916867,2,1.6,5,961.1111111111112,638.7560248320632,5,906.6666666666667,697.9732564122115,5,1093.3333333333335,538.3359133065113,0.687,0.4981289993565924,5,0.11885677704006366,0.22084534915669787,5,683,278.4034841736001,5,16.266666666666666,all
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.7584040938002349,0.23927402147685262,8,0.5,0.24504100300349882,8,1.375,0.5175491695067657,8,0.5,0.7071067811865476,2,1,0,5,400,418.960618674357,5,0.875,8,1611.4583333333335,726.9873896310305,8,1543.75,801.3350715059194,8,1679.1666666666667,675.5215504181677,0.24874999999999986,0.16243130416095475,8,0.04416380559736932,0.17898929463691823,8,857.75,522.0078680304678,8,13,all
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.8535590598745346,0.07791693286507569,8,0.60062893081761,0.15645810998052287,8,1.25,0.4629100498862757,8,0.3333333333333333,0.5773502691896257,3,1,0,2,403.5,188.79751057680818,2,1,8,1653.125,554.2035881005212,8,1775.0000000000002,446.7697109285438,8,1775.0000000000002,446.7697109285438,0.18312499999999987,0.21791114670237252,8,0.05221033190046526,0.22804829200082624,8,1057.5,453.0761525395041,8,23,all
Mix_20_S29,17328000,Mix-20,21.033333333333335,42,58,42,0.5,0.7071067811865476,2,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,2,1250,NA,1,2283.3333333333335,NA,1,2283.3333333333335,NA,0.4525000000000001,0.09545941546018377,2,0.2456083333333332,0.04816575691182362,2,1257.5,12.020815280171307,2,-3.966666666666665,all
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.34273913969032865,0.1499118277820596,6,-0.3106101251538968,0.07753450300036464,6,1.3333333333333333,0.5163977794943222,6,0,NA,1,0.6,0.5477225575051661,5,629.6666666666666,588.6258007710275,3,1.3333333333333333,6,627.7777777777778,331.2714004268113,6,561.1111111111112,365.705811740449,6,694.4444444444445,332.61032700388245,0.23249999999999993,0.1082935824506697,6,0.11342401021711372,0.07700757976619135,6,1243.3333333333333,345.53591226769277,6,-3.6999999999999993,all
Mix_14_S23,55704000,Mix-14,14.3,77,23,77,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1299999999999999,NA,1,0.024777777777777565,NA,1,167,NA,1,-10.7,all
Mix_14_S24,18348000,Mix-14,14,27,73,27,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,all
Mix_20_S41,40632000,Mix-20,20.5,29,71,29,0.6994887218045113,0.4414107070406469,5,0.24274135119070722,0.26371957090143083,4,1.25,0.5,4,1,0,3,1,NA,1,836,NA,1,0.2,5,1643.7500000000002,673.0725223706361,4,1695.8333333333335,616.6478976122677,4,1695.8333333333335,616.6478976122677,0.06200000000000001,0.14989996664442595,5,-0.07036767928977676,0.1422160355168861,5,619.4,466.7882817723684,5,-4.5,all
Mix_20_S45,58560000,Mix-20,20.366666666666667,91,9,91,0.6738095238095239,0.2256007349499938,2,NA,NA,NA,1.5,0.7071067811865476,2,0,NA,1,1,NA,1,219,NA,1,1,2,320.83333333333337,41.24789556921526,2,275,106.06601717798213,2,366.6666666666667,23.57022603955161,0.054999999999999716,0.06363961030678918,2,-0.06524589603283193,0.06712548874336394,2,1007.5,600.3336572273788,2,-4.633333333333333,all
Mix_14_S30,62880000,Mix-14,14.466666666666667,24.1,75.9,24.1,0.6767344497607656,0.46071774123821374,4,0.02908977166093208,0.010395376514159381,2,1.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,3,0,NA,1,NA,NA,NA,0.25,4,1686.1111111111113,662.2946921569427,3,1750.0000000000002,585.9465277082317,3,1750.0000000000002,585.9465277082317,0.07750000000000001,0.03570714214271454,4,-0.09590972222222238,0.06860163517934406,4,661.75,671.9530613567191,4,-10.533333333333333,all
Mix_14_S32,72444000,Mix-14,14.133333333333333,69,28,69,0.48979878805677324,0.2712890022540074,6,-0.02105688004577588,0.2623187813334767,6,1.1666666666666667,0.408248290463863,6,0,0,3,0.6666666666666666,0.5773502691896257,3,694,247.48737341529164,2,1.5,6,918.0555555555557,438.88800984440803,6,816.6666666666667,482.00968178381373,6,1019.4444444444446,525.6125174674958,0.07666666666666644,0.033714487489307526,6,-0.021277777777777878,0.05084372692772671,6,885.1666666666666,390.08174357007107,6,-10.866666666666667,all
