recording_name,trial_number,subject_id,dataset_name,age_months,target_word,yoked_target,yoked_distractor,yoked_pair,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
114_114_pomper_saffran_2016_42,15,114,pomper_saffran_2016,42,white,white,brown,brown-white,white,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,distractor
115_115_pomper_saffran_2016_42,9,115,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,89,15,0.8557692307692307,NA,1,1,NA,440,1,2966.666666666667,2966.666666666667,2966.666666666667,17,distractor
115_115_pomper_saffran_2016_42,10,115,pomper_saffran_2016,42,red,red,green,green-red,red,distractor,82,21,0.7961165048543689,NA,1,1,NA,615,1,2733.3333333333335,2733.3333333333335,2733.3333333333335,17,distractor
115_115_pomper_saffran_2016_42,11,115,pomper_saffran_2016,42,yellow,yellow,black,black-yellow,yellow,distractor,82,21,0.7961165048543689,0.339622641509434,1,1,NA,615,1,2733.3333333333335,2733.3333333333335,2733.3333333333335,17,distractor
115_115_pomper_saffran_2016_42,12,115,pomper_saffran_2016,42,white,white,brown,brown-white,white,distractor,66,32,0.673469387755102,NA,1,1,NA,340,2,2200,2200,2200,17,distractor
115_115_pomper_saffran_2016_42,14,115,pomper_saffran_2016,42,black,black,yellow,black-yellow,black,distractor,51,46,0.5257731958762887,0.2830188679245283,1,1,NA,815,2,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,distractor
116_116_pomper_saffran_2016_45,2,116,pomper_saffran_2016,45,orange,orange,blue,blue-orange,orange,distractor,96,1,0.9896907216494846,NA,1,1,NA,115,0,3200,3200,3200,20,distractor
116_116_pomper_saffran_2016_45,3,116,pomper_saffran_2016,45,yellow,yellow,black,black-yellow,yellow,distractor,101,3,0.9711538461538461,0.37735849056603776,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,20,distractor
116_116_pomper_saffran_2016_45,4,116,pomper_saffran_2016,45,white,white,brown,brown-white,white,distractor,101,0,1,0.6415094339622642,1,1,NA,140,0,3366.666666666667,3366.666666666667,3366.666666666667,20,distractor
116_116_pomper_saffran_2016_45,5,116,pomper_saffran_2016,45,black,black,yellow,black-yellow,black,distractor,43,61,0.41346153846153844,0.37735849056603776,1,1,NA,15,1,1433.3333333333335,1433.3333333333335,1433.3333333333335,20,distractor
116_116_pomper_saffran_2016_45,7,116,pomper_saffran_2016,45,brown,brown,white,brown-white,brown,distractor,61,33,0.648936170212766,0.5754716981132075,2,1,NA,490,3,1016.6666666666667,1533.3333333333335,1533.3333333333335,20,distractor
117_117_pomper_saffran_2016_43,9,117,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,99,4,0.9611650485436893,NA,1,1,NA,190,0,3300.0000000000005,3300.0000000000005,3300.0000000000005,18,distractor
117_117_pomper_saffran_2016_43,10,117,pomper_saffran_2016,43,green,green,red,green-red,green,distractor,102,1,0.9902912621359223,NA,1,1,NA,115,0,3400.0000000000005,3400.0000000000005,3400.0000000000005,18,distractor
117_117_pomper_saffran_2016_43,11,117,pomper_saffran_2016,43,black,black,yellow,black-yellow,black,distractor,93,11,0.8942307692307693,NA,1,1,NA,340,1,3100,3100,3100,18,distractor
117_117_pomper_saffran_2016_43,12,117,pomper_saffran_2016,43,brown,brown,white,brown-white,brown,distractor,99,4,0.9611650485436893,NA,1,1,NA,190,0,3300.0000000000005,3300.0000000000005,3300.0000000000005,18,distractor
118_118_pomper_saffran_2016_42,10,118,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,83,17,0.83,NA,2,1,NA,15,2,1383.3333333333335,1633.3333333333335,1633.3333333333335,17,distractor
118_118_pomper_saffran_2016_42,13,118,pomper_saffran_2016,42,black,black,yellow,black-yellow,black,distractor,106,0,1,NA,1,1,NA,15,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,17,distractor
118_118_pomper_saffran_2016_42,14,118,pomper_saffran_2016,42,red,red,green,green-red,red,distractor,93,9,0.9117647058823529,NA,1,1,NA,340,1,3100,3100,3100,17,distractor
118_118_pomper_saffran_2016_42,16,118,pomper_saffran_2016,42,orange,orange,blue,blue-orange,orange,distractor,36,20,0.6428571428571429,NA,2,1,NA,15,2,600,766.6666666666667,766.6666666666667,17,distractor
119_119_pomper_saffran_2016_43,3,119,pomper_saffran_2016,43,red,red,green,green-red,red,distractor,50,50,0.5,0.4056603773584906,1,1,NA,290,2,1666.6666666666667,1666.6666666666667,1666.6666666666667,18,distractor
119_119_pomper_saffran_2016_43,4,119,pomper_saffran_2016,43,blue,blue,orange,blue-orange,blue,distractor,94,9,0.912621359223301,NA,1,1,NA,315,1,3133.3333333333335,3133.3333333333335,3133.3333333333335,18,distractor
119_119_pomper_saffran_2016_43,5,119,pomper_saffran_2016,43,brown,brown,white,brown-white,brown,distractor,90,13,0.8737864077669902,NA,1,1,NA,415,1,3000,3000,3000,18,distractor
119_119_pomper_saffran_2016_43,8,119,pomper_saffran_2016,43,green,green,red,green-red,green,distractor,97,7,0.9326923076923077,0.44339622641509435,1,1,NA,240,0,3233.3333333333335,3233.3333333333335,3233.3333333333335,18,distractor
120_120_pomper_saffran_2016_42,9,120,pomper_saffran_2016,42,yellow,yellow,black,black-yellow,yellow,distractor,71,8,0.8987341772151899,NA,2,1,NA,290,1,1183.3333333333335,733.3333333333334,1633.3333333333335,17,distractor
120_120_pomper_saffran_2016_42,10,120,pomper_saffran_2016,42,brown,brown,white,brown-white,brown,distractor,51,51,0.5,0.169811320754717,1,1,NA,15,1,1700.0000000000002,1700.0000000000002,1700.0000000000002,17,distractor
120_120_pomper_saffran_2016_42,13,120,pomper_saffran_2016,42,white,white,brown,brown-white,white,distractor,62,33,0.6526315789473685,0.10377358490566035,1,1,NA,990,1,2066.666666666667,2066.666666666667,2066.666666666667,17,distractor
