recording_name,subject_id,dataset_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,age_months_centred,data_split
CompMix36_S03_86508000_E1,86508000,CompMix-36,43.2,30,70,30,0.8772707388738521,0.05685806674651611,10,0.6619496855345912,0.06448458067424488,2,1.4,0.699205898780101,10,NA,NA,NA,1,0,10,317,141.7227340031702,10,0.9,10,1899.1666666666667,694.0048608717235,10,1805.0000000000002,839.6813769608177,10,2005.0000000000002,597.7349220490945,0.0875,0.14095409024060138,10,0.057688061650992675,0.09829403092169443,10,433,206.64032090137255,10,18.200000000000003,distractor
CompMix36_S05_96120000_E1,96120000,CompMix-36,46,40,60,40,0.8117937526059136,0.12009978430303543,10,0.6108490566037736,0.08096593751280295,4,1.6,1.0749676997731399,10,NA,NA,NA,1,0,10,347.3,266.78874289094983,10,1,10,1515.4166666666667,680.476327587821,10,1658.3333333333335,508.70508568082045,10,1658.3333333333335,508.70508568082045,0.08349999999999999,0.09686904103536437,10,0.060292592592592606,0.09830288274425074,10,335,219.89795613218217,10,21,distractor
CompMix36_S06_93168000_E1,93168000,CompMix-36,44.333333333333336,50,50,50,0.5809789550306429,0.2577104492899339,9,-0.07704402515723269,0.006670818690439126,2,1.3333333333333333,0.5,9,NA,NA,NA,0.8888888888888888,0.3333333333333333,9,512,287.15700036242,8,1.3333333333333333,9,1190.7407407407409,708.2039642209521,9,1327.7777777777778,656.273147739906,9,1327.7777777777778,656.273147739906,0.08777777777777773,0.09906156895812056,9,0.006296296296296195,0.10643466885638306,9,412.44444444444446,217.36438939664836,9,19.333333333333336,distractor
CompMix36_S26_83640000_E1,83640000,CompMix-36,44,40,60,40,0.7674100010980135,0.08260177846425162,6,NA,NA,NA,1.8333333333333333,1.1690451944500122,6,NA,NA,NA,1,0,6,522.8333333333334,194.97427180699168,6,1,6,1297.9166666666667,853.2932526394428,6,1327.7777777777778,799.004009631621,6,1419.4444444444446,734.6515929084773,0.13750000000000004,0.15413468136665412,6,0.09065277777777762,0.10661999521492004,6,299.8333333333333,228.72640133282968,6,19,distractor
CompMix36_S29_98280000_E1,98280000,CompMix-36,40.43333333333333,20,80,20,0.7418776172193047,0.2040978890217994,12,0.34643605870020966,0.3490391330358792,6,1.1666666666666667,0.3892494720807615,12,NA,NA,NA,1,0,12,495.0833333333333,374.4810854146486,12,1.25,12,1755.5555555555557,662.3185222503029,12,1713.888888888889,743.008943124031,12,1854.1666666666667,596.2053828890331,0.050000000000000044,0.12595092839529354,12,0.010675218938149933,0.16364469272262733,12,323.3333333333333,190.57441082319016,12,15.43333333333333,distractor
CompMix36_S07_535140000_E2,535140000,CompMix-36,41.266666666666666,50,50,50,0.5881977902417626,0.23933976986780203,3,NA,NA,NA,2,1,3,NA,NA,NA,1,0,3,398,79.03796556086195,3,2.3333333333333335,3,814.8148148148149,807.4944737290039,3,716.6666666666667,880.4985961248194,3,944.4444444444446,753.0186166603302,0.07833333333333344,0.03785938897200178,3,0.0058611111111111685,0.03618071283821645,3,505,133.83945606584032,3,16.266666666666666,distractor
CompMix36_S14_94020000_E2,94020000,CompMix-36,38,55,45,55,0.6651963472962388,0.2473986462960403,14,0.41132075471698115,0.14735425378949374,10,1.3846153846153846,0.6504436355879909,13,NA,NA,NA,0.9285714285714286,0.2672612419124244,14,341.9230769230769,282.71642492624466,13,1.2857142857142858,14,1447.6495726495727,608.1894026351355,13,1380.769230769231,687.179088531585,13,1548.7179487179487,532.7454024369088,0.08785714285714283,0.12596877338504117,14,0.04095807210031351,0.11083768907847115,14,402,162.68657927721966,14,13,distractor
CompMix36_S20_85212000_E2,85212000,CompMix-36,48,20,80,20,0.614742677268545,0.25983762582983544,7,-0.39308176100628933,0.013341637380878213,2,1.4285714285714286,0.5345224838248488,7,NA,NA,NA,0.8571428571428571,0.3779644730092272,7,339.8333333333333,134.44317262942982,6,1.5714285714285714,7,1175,748.3778754375656,7,1190.4761904761906,747.1462462112175,7,1223.8095238095239,715.7524623091334,0.01857142857142862,0.07498412530408724,7,-0.021122406329302925,0.05102999831010538,7,425.85714285714283,227.38031912153156,7,23,distractor
Mix_20_S29,17328000,Mix-20,21.033333333333335,42,58,42,0.16666666666666666,0.23570226039551584,2,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,2,NA,NA,NA,0.5,2,700,NA,1,700,NA,1,700,NA,0.03500000000000014,0.049497474683058526,2,0.020208333333333384,0.018443701875949358,2,316,400.2224381515859,2,-3.966666666666665,distractor
Mix_20_S36,16464000,Mix-20,21.3,62,38,62,0.3919391761012773,0.26356251188298213,9,-0.2331539920027768,0.08595512739161418,4,1.375,0.5175491695067657,8,NA,NA,NA,0.6666666666666666,0.5,9,418.6666666666667,458.667490309338,6,1.1111111111111112,9,718.75,318.15907721248254,8,620.8333333333334,373.0770804224081,8,816.6666666666667,329.7425643288393,0.08055555555555566,0.15740958604156785,9,0.03951851851851856,0.11945788845529416,9,529.2222222222222,166.04274884632704,9,-3.6999999999999993,distractor
