recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
1_casillas_tseltal_2015_22,4,1,casillas_tseltal_2015,22,chojak',purse-tseltal,target,27,76,0.2621359223300971,NA,1,NA,0,NA,1,1080,1080,1080,-3,all
1_casillas_tseltal_2015_22,5,1,casillas_tseltal_2015,22,baso,cup,distractor,70,32,0.6862745098039216,NA,1,1,NA,540,2,2800,2800,2800,-3,all
1_casillas_tseltal_2015_22,6,1,casillas_tseltal_2015,22,nichim,flower,target,64,40,0.6153846153846154,NA,1,NA,1,NA,1,2560,2560,2560,-3,all
1_casillas_tseltal_2015_22,7,1,casillas_tseltal_2015,22,balti,bucket,distractor,5,98,0.04854368932038835,NA,NA,0,NA,NA,0,NA,200,NA,-3,all
1_casillas_tseltal_2015_22,8,1,casillas_tseltal_2015,22,mut,chicken,distractor,48,54,0.47058823529411764,NA,1,0,NA,NA,1,1920,1920,1920,-3,all
1_casillas_tseltal_2015_22,9,1,casillas_tseltal_2015,22,k'ajk',fire,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,all
1_casillas_tseltal_2015_22,10,1,casillas_tseltal_2015,22,mexa,table,neither,56,0,1,NA,1,NA,NA,NA,0,2240,2240,2240,-3,all
1_casillas_tseltal_2015_22,11,1,casillas_tseltal_2015,22,xawin,cat,distractor,61,42,0.5922330097087378,NA,1,1,NA,1140,1,2440,2440,2440,-3,all
1_casillas_tseltal_2015_22,12,1,casillas_tseltal_2015,22,ja',water,distractor,58,46,0.5576923076923077,NA,1,1,NA,1215,1,2320,2320,2320,-3,all
1_casillas_tseltal_2015_22,13,1,casillas_tseltal_2015,22,ixim,corn,distractor,79,24,0.7669902912621359,NA,1,1,NA,690,1,3160,3160,3160,-3,all
1_casillas_tseltal_2015_22,14,1,casillas_tseltal_2015,22,karo,car,target,77,24,0.7623762376237624,NA,2,NA,0,NA,2,1540,960,2120,-3,all
1_casillas_tseltal_2015_22,15,1,casillas_tseltal_2015,22,na,house,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,all
1_casillas_tseltal_2015_22,16,1,casillas_tseltal_2015,22,te,tree,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,all
1_casillas_tseltal_2015_22,17,1,casillas_tseltal_2015,22,waybal,bed,distractor,46,52,0.46938775510204084,NA,2,1,NA,465,4,920,1200,1200,-3,all
1_casillas_tseltal_2015_22,18,1,casillas_tseltal_2015,22,t'inel,doorway,distractor,52,53,0.49523809523809526,NA,1,1,NA,1365,1,2080,2080,2080,-3,all
1_casillas_tseltal_2015_22,19,1,casillas_tseltal_2015,22,lo'bal,banana,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,all
1_casillas_tseltal_2015_22,20,1,casillas_tseltal_2015,22,chenek',bean,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,all
1_casillas_tseltal_2015_22,21,1,casillas_tseltal_2015,22,tz'i,dog,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,all
1_casillas_tseltal_2015_22,22,1,casillas_tseltal_2015,22,tomut,egg,distractor,0,106,0,NA,NA,0,NA,NA,0,NA,NA,NA,-3,all
1_casillas_tseltal_2015_22,23,1,casillas_tseltal_2015,22,p'in,pot-tseltal,target,41,58,0.41414141414141414,NA,1,NA,0,NA,1,1240,400,1240,-3,all
1_casillas_tseltal_2015_22,24,1,casillas_tseltal_2015,22,tzek',skirt-tseltal,target,106,0,1,NA,1,NA,1,NA,0,4240,4240,4240,-3,all
1_casillas_tseltal_2015_22,25,1,casillas_tseltal_2015,22,ich,chile,distractor,63,42,0.6,NA,1,1,NA,1090,1,2520,2520,2520,-3,all
1_casillas_tseltal_2015_22,26,1,casillas_tseltal_2015,22,xila,chair,distractor,53,50,0.5145631067961165,NA,1,1,NA,1340,1,2120,2120,2120,-3,all
1_casillas_tseltal_2015_22,27,1,casillas_tseltal_2015,22,mes,broom,target,40,64,0.38461538461538464,NA,1,NA,0,NA,1,1600,1600,1600,-3,all
1_casillas_tseltal_2015_22,28,1,casillas_tseltal_2015,22,machit,machete,distractor,63,40,0.6116504854368932,NA,1,1,NA,1090,1,2520,2520,2520,-3,all
1_casillas_tseltal_2015_22,29,1,casillas_tseltal_2015,22,si',firewood,distractor,26,77,0.2524271844660194,NA,1,0,NA,NA,1,1040,1040,1040,-3,all
1_casillas_tseltal_2015_22,30,1,casillas_tseltal_2015,22,bojch,bowl-tseltal,distractor,77,26,0.7475728155339806,NA,1,1,NA,740,1,3080,3080,3080,-3,all
2_casillas_tseltal_2015_45,1,2,casillas_tseltal_2015,45,wa,tortilla,target,37,55,0.40217391304347827,NA,1,NA,0,NA,3,640,440,640,20,all
2_casillas_tseltal_2015_45,2,2,casillas_tseltal_2015,45,moch,basket-tseltal,distractor,59,42,0.5841584158415841,NA,1,1,NA,690,2,2360,2360,2360,20,all
2_casillas_tseltal_2015_45,3,2,casillas_tseltal_2015,45,pelota,ball,target,74,17,0.8131868131868132,NA,2,NA,1,NA,2,1480,2240,2240,20,all
2_casillas_tseltal_2015_45,4,2,casillas_tseltal_2015,45,chojak',purse-tseltal,distractor,47,47,0.5,NA,1,1,NA,565,2,1880,1880,1880,20,all
2_casillas_tseltal_2015_45,5,2,casillas_tseltal_2015,45,baso,cup,distractor,70,26,0.7291666666666666,NA,1,1,NA,140,1,2480,2480,2480,20,all
2_casillas_tseltal_2015_45,6,2,casillas_tseltal_2015,45,nichim,flower,target,85,17,0.8333333333333334,NA,2,NA,1,NA,2,1700,2160,2160,20,all
2_casillas_tseltal_2015_45,7,2,casillas_tseltal_2015,45,balti,bucket,distractor,51,48,0.5151515151515151,NA,1,1,NA,290,1,2040,2040,2040,20,all
2_casillas_tseltal_2015_45,8,2,casillas_tseltal_2015,45,mut,chicken,target,62,38,0.62,NA,2,NA,0,NA,2,1240,1520,1520,20,all
2_casillas_tseltal_2015_45,9,2,casillas_tseltal_2015,45,k'ajk',fire,distractor,68,34,0.6666666666666666,NA,1,1,NA,165,1,2720,2720,2720,20,all
