recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,0,casillas_tseltal_2015,14,0.14752503399090075,0.28069940149868633,15,NA,NA,NA,1,0,5,NA,NA,NA,0.26666666666666666,0.45773770821706344,15,565,300.6936425444786,4,0.4666666666666667,15,1832,1403.8233507104803,5,1832,1403.8233507104803,5,1832,1403.8233507104803,-11,distractor
1_1_casillas_tseltal_2015_22,1,casillas_tseltal_2015,22,0.39706902756502555,0.26918413721231715,19,NA,NA,NA,1.0714285714285714,0.2672612419124244,14,NA,NA,NA,0.5789473684210527,0.5072572735017881,19,917.2727272727273,354.86873373378245,11,1,19,2137.1428571428573,699.4880388423496,14,2026.6666666666667,816.2165912363727,15,2157.1428571428573,665.1712164944806,-3,distractor
2_2_casillas_tseltal_2015_45,2,casillas_tseltal_2015,45,0.6735042247875161,0.1569738241166918,14,NA,NA,NA,1.2142857142857142,0.4258153136263201,14,NA,NA,NA,1,0,14,341.7857142857143,219.58533598630802,14,1.6428571428571428,14,2368.5714285714284,894.3485565814598,14,2514.285714285714,738.7069189387034,14,2514.285714285714,738.7069189387034,20,distractor
3_3_casillas_tseltal_2015_22,3,casillas_tseltal_2015,22,0.37622258411802545,0.3293447920179696,16,NA,NA,NA,1,0,12,NA,NA,NA,0.375,0.5,16,656.6666666666666,288.8194360957494,6,0.875,16,1980,1121.4925120327173,12,1980,1121.4925120327173,12,1980,1121.4925120327173,-3,distractor
4_4_casillas_tseltal_2015_45,4,casillas_tseltal_2015,45,0.6150506833597875,0.25714260864707783,19,NA,NA,NA,1.1666666666666667,0.3834824944236852,18,NA,NA,NA,0.9473684210526315,0.22941573387056177,19,440,194.40709258424403,18,1.4736842105263157,19,2390,1018.6092017463582,18,2424.4444444444443,1013.6145120729908,18,2471.1111111111113,943.5408210807584,20,distractor
5_5_casillas_tseltal_2015_27,5,casillas_tseltal_2015,27,0.471820386179884,0.3046262590793205,16,NA,NA,NA,1.1333333333333333,0.3518657752744984,15,NA,NA,NA,0.6875,0.47871355387816905,16,410.45454545454544,233.93860888547817,11,1.5,16,1822.6666666666667,1127.7503945381497,15,1813.3333333333333,1133.5574008193767,15,1896,1127.7081689363229,2,distractor
6_6_casillas_tseltal_2015_39,6,casillas_tseltal_2015,39,0.6932093007389761,0.2459708805620711,17,NA,NA,NA,1,0,16,NA,NA,NA,0.8823529411764706,0.3321055820775357,17,581.6666666666666,267.53949419175655,15,0.8823529411764706,17,3047.5,802.5584090893323,16,2884.705882352941,1026.8283549786863,17,3047.5,802.5584090893323,14,distractor
7_7_casillas_tseltal_2015_25,7,casillas_tseltal_2015,25,0.07051282051282051,0.1718748726506122,12,NA,NA,NA,1,0,2,NA,NA,NA,0.08333333333333333,0.28867513459481287,12,1265,NA,1,0.16666666666666666,12,1760,678.8225099390856,2,1760,678.8225099390856,2,1760,678.8225099390856,0,distractor
8_8_casillas_tseltal_2015_14,8,casillas_tseltal_2015,14,0.1962216655540587,0.23038095690365715,14,NA,NA,NA,1,0,8,NA,NA,NA,0.42857142857142855,0.5135525910130955,14,990,220.22715545545242,6,0.9285714285714286,14,1385,823.0778473857396,8,1385,823.0778473857396,8,1385,823.0778473857396,-11,distractor
9_9_casillas_tseltal_2015_42,9,casillas_tseltal_2015,42,0.5231015701707608,0.26006637523927767,13,NA,NA,NA,1.25,0.621581560508061,12,NA,NA,NA,0.9230769230769231,0.2773500981126146,13,519.1666666666666,210.74363285252247,12,1.6923076923076923,13,2032.2222222222222,966.5175781930865,12,1896.6666666666667,1129.4997551879758,12,2193.3333333333335,890.4884597622234,17,distractor
