recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
166_166_pomper_saffran_2016_47,166,pomper_saffran_2016,47,0.922395317308677,0.06059278278683181,8,NA,NA,NA,1.25,0.4629100498862757,8,0.5,0.5773502691896257,4,1,0,4,252.5,158.77132402714707,4,0.125,8,2506.25,985.9302874676443,8,2525,942.4301582476036,8,2600,843.6504203436585,22,all
167_167_pomper_saffran_2016_46,167,pomper_saffran_2016,46,0.9373110239588589,0.060204503655060665,8,NA,NA,NA,1.125,0.3535533905932738,8,0.5,0.5477225575051661,6,1,0,2,402.5,17.67766952966369,2,0.25,8,2995.8333333333335,789.9040528433898,8,2958.3333333333335,891.5387091098569,8,3033.3333333333335,689.6053621859068,21,all
168_168_weisleder_stl_18,168,weisleder_stl,18,0.48320963155646174,0.34141812025757645,27,-0.10495283018867924,0.11637117083896238,8,1.0454545454545454,0.21320071635561044,22,0.5384615384615384,0.5188745216627708,13,0.4166666666666667,0.5149286505444373,12,960,89.09264840602731,5,0.7407407407407407,27,1796.969696969697,972.5822874781886,22,1731.8840579710145,1001.3868293052475,23,1798.4848484848485,971.4156621387101,-7,all
169_170_weisleder_stl_18,169,weisleder_stl,18,0.5387261109294403,0.25616004615472604,16,0.04245283018867925,0.1032755070312008,8,1.2,0.4140393356054125,15,0.3333333333333333,0.5163977794943222,6,0.75,0.4629100498862757,8,815,356.72117963473937,6,1.125,16,1572.2222222222224,697.0933606333899,15,1573.3333333333335,801.4074920126267,15,1660,697.8652255384796,-7,all
170_172_weisleder_stl_19,170,weisleder_stl,19,0.5799758308395668,0.3829631517769065,21,0.1707940251572327,0.29078631521877646,8,1.0625,0.25,16,0.6,0.5163977794943222,10,0.5,0.5270462766947299,10,655,321.90837205639747,5,0.5238095238095238,21,2356.25,885.1631990141078,16,2120.3703703703704,1077.2840995890108,18,2358.3333333333335,881.4550260580304,-6,all
171_174_weisleder_stl_20,171,weisleder_stl,20,0.6743968914513595,0.26047675896260103,32,0.339622641509434,0.23774841664466925,8,1.1875,0.39655776945626603,32,0.42857142857142855,0.5135525910130955,14,1,0,18,615,282.4524947043412,18,1.125,32,2044.7916666666667,1066.048523006818,32,1982.2916666666667,1136.396378642013,32,2108.3333333333335,1017.1292795540619,-5,all
172_176_weisleder_stl_19,172,weisleder_stl,19,0.6273959819973228,0.24812153856294844,32,0.2320165094339623,0.04583588092550037,8,1.096774193548387,0.30053715351876426,31,0.6,0.5163977794943222,10,0.9523809523809523,0.21821789023599236,21,573.75,222.467472489327,20,1.1875,32,1950,780.2302604098737,31,2006.4516129032259,749.2919796239603,31,2006.4516129032259,749.2919796239603,-6,all
173_178_weisleder_stl_19,173,weisleder_stl,19,0.5783990901388715,0.3443395083135041,30,0.15968946540880505,0.34387043504034615,8,1.2,0.408248290463863,25,0.45454545454545453,0.5222329678670935,11,0.5555555555555556,0.5113099925649136,18,742.5,350.48577400199537,10,0.8333333333333334,30,2123.3333333333335,971.7657658632063,25,2158.666666666667,947.0851969967488,25,2216,901.5994018861601,-6,all
174_180_weisleder_stl_19,174,weisleder_stl,19,0.7152108230497539,0.30486522139536754,26,0.4294418238993711,0.27793672204489883,8,1.0416666666666667,0.2041241452319315,24,0.7692307692307693,0.4385290096535146,13,0.9090909090909091,0.30151134457776363,11,697.5,317.33482142508234,10,0.5,26,2515.277777777778,937.0515567287607,24,2491.666666666667,985.4129324009277,24,2515.277777777778,937.0515567287607,-6,all
175_182_weisleder_stl_20,175,weisleder_stl,20,0.6317454415978536,0.2927696461390644,27,0.28134827044025157,0.14461040146353998,8,1.04,0.2,25,0.7142857142857143,0.4879500364742666,7,0.8333333333333334,0.3834824944236852,18,731.6666666666666,280.41211168733844,15,0.9259259259259259,27,2194,927.2230543901466,25,2196,924.9284256593008,25,2196,924.9284256593008,-5,all
176_184_weisleder_stl_19,176,weisleder_stl,19,0.5315471949071835,0.3425499422017087,23,-0.004225628930817613,0.20374832138041127,8,1.0526315789473684,0.22941573387056177,19,0.5384615384615384,0.5188745216627708,13,0.5555555555555556,0.5270462766947299,9,960,340.22051672408,5,0.6956521739130435,23,2058.7719298245615,1026.9271017237354,19,2040.3508771929826,1054.4777507541862,19,2077.1929824561403,1005.0522148206627,-6,all
177_186_weisleder_stl_18,177,weisleder_stl,18,0.582014790853126,0.2654229669624002,20,0.07330974842767296,0.33763811085660644,8,1,0,19,0.875,0.3535533905932738,8,0.8333333333333334,0.3892494720807615,12,947.5,333.968145520231,10,1,20,1998.2456140350878,832.701514869222,19,1998.2456140350878,832.701514869222,19,1998.2456140350878,832.701514869222,-7,all
178_188_weisleder_stl_18,178,weisleder_stl,18,0.6395775417913511,0.25507682447179225,31,0.2508844339622641,0.19261553501770726,8,1.1666666666666667,0.3790490217894517,30,0.5,0.5222329678670935,12,0.9444444444444444,0.23570226039551584,18,540,172.75343701356567,17,1.3225806451612903,31,1945.0000000000002,923.4093707020647,30,1841.1111111111113,1017.8364603537952,30,1990.0000000000002,882.2711028083006,-7,all
179_190_weisleder_stl_19,179,weisleder_stl,19,0.7414646750063754,0.2301320239930639,30,0.4493907232704403,0.16572843695009046,8,1.0333333333333334,0.18257418583505536,30,0.9090909090909091,0.30151134457776363,11,1,0,19,525.5263157894736,300.7301057280898,19,0.8,30,2366.666666666667,881.5260192446756,30,2378.888888888889,866.2458453714188,30,2378.888888888889,866.2458453714188,-6,all
