recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
10_casillas_tseltal_2015_46,10,casillas_tseltal_2015,46,0.7572571054924466,0.20314345187237953,16,NA,NA,NA,1,0,16,NA,NA,NA,0.9375,0.25,16,596.6666666666666,344.92062578981574,15,12,16,3110,871.0453489916584,16,3110,871.0453489916584,16,3110,871.0453489916584,21,distractor
12_casillas_tseltal_2015_16,12,casillas_tseltal_2015,16,0.2689870885615566,0.3558359120360191,9,NA,NA,NA,1.25,0.5,4,NA,NA,NA,0.4444444444444444,0.5270462766947299,9,652.5,657.4889099191458,4,4,9,1570,471.45165888632386,4,1264,749.1862251803619,5,1610,425.0490167812021,-9,distractor
13_casillas_tseltal_2015_48,13,casillas_tseltal_2015,48,0.4471962297490567,0.3604745757721168,6,NA,NA,NA,1,0,4,NA,NA,NA,0.6666666666666666,0.5163977794943222,6,465,384.59935864047753,4,4,6,2710,543.9362707768868,4,2140,1372.6859315468585,4,2710,543.9362707768868,23,distractor
14_casillas_tseltal_2015_29,14,casillas_tseltal_2015,29,0.6029959078262573,0.27868663408440797,12,NA,NA,NA,1.0833333333333333,0.28867513459481287,12,NA,NA,NA,1,0,12,442.0833333333333,216.232811543204,12,16,12,2248.3333333333335,1186.0847228157734,12,2323.3333333333335,1165.4989827485388,12,2323.3333333333335,1165.4989827485388,4,distractor
15_casillas_tseltal_2015_39,15,casillas_tseltal_2015,39,0.5346549744063608,0.29234921608022996,17,NA,NA,NA,1.1333333333333333,0.3518657752744984,15,NA,NA,NA,0.8235294117647058,0.3929526239966879,17,282.85714285714283,165.95544218617476,14,17,17,2260,1139.8997449650687,15,2125,1224.1895278101345,16,2309.3333333333335,1089.2164068505308,14,distractor
16_casillas_tseltal_2015_41,16,casillas_tseltal_2015,41,0.5733146299761296,0.293214765097166,9,NA,NA,NA,1.25,0.4629100498862757,8,NA,NA,NA,0.7777777777777778,0.44095855184409843,9,554.2857142857143,356.1533912448934,7,8,9,2257.5,876.0585433797056,8,2240,885.9538846431487,8,2280,864.0105819457801,16,distractor
17_casillas_tseltal_2015_32,17,casillas_tseltal_2015,32,0.5431313784613786,0.3256224464446575,11,NA,NA,NA,1.125,0.3535533905932738,8,NA,NA,NA,0.8181818181818182,0.40451991747794525,11,565,254.64435984329202,9,12,11,2820,668.9864401786161,8,2484.4444444444443,1112.9140927213464,9,2900,503.7005913380346,7,distractor
18_casillas_tseltal_2015_32,18,casillas_tseltal_2015,32,0.509107435056487,0.2781927884491921,16,NA,NA,NA,1.0714285714285714,0.2672612419124244,14,NA,NA,NA,0.6875,0.47871355387816905,16,521.8181818181819,418.9407638752329,11,17,16,2154.285714285714,900.1684823983212,14,2191.4285714285716,880.7239779151724,14,2191.4285714285716,880.7239779151724,7,distractor
19_casillas_tseltal_2015_35,19,casillas_tseltal_2015,35,0.36348932775819565,0.3869890913625388,12,NA,NA,NA,1,0,6,NA,NA,NA,0.5,0.5222329678670935,12,652.5,239.13908087136238,6,7,12,3026.6666666666665,481.10982807116574,6,3026.6666666666665,481.10982807116574,6,3026.6666666666665,481.10982807116574,10,distractor
20_casillas_tseltal_2015_36,20,casillas_tseltal_2015,36,0.5504004294772428,0.26386714695499786,15,NA,NA,NA,1,0,14,NA,NA,NA,1,0,15,663.3333333333334,363.3262340940334,15,16,15,2400,1001.5372799236796,14,2261.3333333333335,1104.470569139458,15,2400,1001.5372799236796,11,distractor
