recording_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,initial_look,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,n_trials_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,n_trials_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latency,n_trials_peak_pupil_latency,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,exp_to_target_lang_centred,age_months_centred
CompMix36_S06_93168000_E1,44.333333333333336,50,50,50,0.76544876160307,0.2581189292774967,6,0.5408805031446541,0.19439287431997707,4,1.1666666666666667,0.408248290463863,6,distractor,1,0,2,NA,NA,NA,503,70.71067811865476,2,5,6,1765.2777777777778,789.0996392983213,6,0.1183333333333334,0.07593857166596361,6,0.08253359332238637,0.07731829846750161,6,344.1666666666667,216.09018179146102,6,1716.6666666666667,881.8541073594128,6,0,19.333333333333336
CompMix36_S26_83640000_E1,44,40,60,40,0.9193548387096774,0.1396815167394256,3,0.7012578616352201,0.15565243611024634,2,2.3333333333333335,1.5275252316519468,3,distractor,1,NA,1,NA,NA,NA,504,NA,1,1,3,1262.5,1220.6200041144846,3,0.18333333333333326,0.07522189397597809,3,0.14374999999999982,0.06475471883277009,3,427.3333333333333,150.83876601634387,3,1344.4444444444446,1130.920634475064,3,-0.09999999999999998,19
CompMix36_S29_98280000_E1,40.43333333333333,20,80,20,0.8449645728843245,0.11489354730261321,5,0.8647798742138365,0.004447212460292751,2,1,0,5,distractor,1,0,4,NA,NA,NA,511.75,243.30690495750423,4,4,5,2233.3333333333335,302.76503540974915,5,-0.052999999999999846,0.22146105752479375,5,-0.0889214285714286,0.2532370873999447,5,216.6,156.27635777685632,5,2200,297.2092416687834,5,-0.3,15.43333333333333
CompMix36_S07_535140000_E2,41.266666666666666,50,50,50,0.6918460874048107,0.24122311750424003,5,0.4088050314465409,0.08894424920585506,2,1.8,1.0954451150103321,5,distractor,1,0,2,NA,NA,NA,411.5,106.77312395916867,2,8,5,961.1111111111112,638.7560248320632,5,0.47300000000000003,0.5896460802888459,5,0.11490506792058523,0.1635114134939953,5,516.2,103.22645009879977,5,575,541.6880337666007,4,0,16.266666666666666
CompMix36_S14_94020000_E2,38,55,45,55,0.7584040938002349,0.23927402147685262,8,0.5,0.24504100300349882,8,1.375,0.5175491695067657,8,distractor,1,0,4,NA,NA,NA,499,410.72780930116403,4,7,8,1611.4583333333335,726.9873896310305,8,0.08437499999999992,0.20574668023706102,8,0.024151123301985433,0.160674955809891,8,410.125,182.04900242987952,8,1322.9166666666667,776.8954036766908,8,0.050000000000000044,13
CompMix36_S20_85212000_E2,48,20,80,20,0.8535590598745346,0.07791693286507569,8,0.60062893081761,0.15645810998052287,8,1.25,0.4629100498862757,8,distractor,1,0,2,NA,NA,NA,403.5,188.79751057680818,2,8,8,1653.125,554.2035881005212,8,0.05187499999999984,0.15480258165067634,8,0.011970905172413837,0.1521543893701621,8,437.125,186.3042346731358,8,1533.3333333333335,704.0698017343776,8,-0.3,23
Mix_20_S29,21.033333333333335,42,58,42,0.5,0.7071067811865476,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1250,NA,1,0.16249999999999987,0.0601040764008562,2,0.09404166666666658,0.1326414470375766,2,625,35.35533905932738,2,216.66666666666669,NA,1,-0.08000000000000002,-3.966666666666665
Mix_20_S36,21.3,62,38,62,0.34273913969032865,0.1499118277820596,6,-0.35227389516957863,0.0515162960620077,4,1.3333333333333333,0.5163977794943222,6,distractor,0.6,0.5477225575051661,5,NA,NA,NA,629.6666666666666,588.6258007710275,3,8,6,627.7777777777778,331.2714004268113,6,0.06750000000000012,0.10930462021342016,6,0.034861111111111155,0.07297498937357973,6,524.5,174.6490767224379,6,508.33333333333337,399.54835613338327,6,0.12,-3.6999999999999993
Mix_20_S41,20.5,29,71,29,0.6994887218045113,0.4414107070406469,5,0.24274135119070722,0.26371957090143083,4,1.25,0.5,4,distractor,1,NA,1,NA,NA,NA,836,NA,1,1,5,1643.7500000000002,673.0725223706361,4,0.019999999999999928,0.13883443376914825,5,-0.06768571428571431,0.10327532131458307,5,326.2,267.40175766064067,5,1650.0000000000002,680.8219433291781,4,-0.21000000000000002,-4.5
Mix_20_S45,20.366666666666667,91,9,91,0.6738095238095239,0.2256007349499938,2,NA,NA,NA,1.5,0.7071067811865476,2,distractor,1,NA,1,NA,NA,NA,219,NA,1,2,2,320.83333333333337,41.24789556921526,2,0.019999999999999796,0.014142135623730963,2,0.025499999999999856,0.02628080203409979,2,416.5,235.46655813512032,2,250.00000000000003,NA,1,0.41000000000000003,-4.633333333333333
Mix_14_S30,14.466666666666667,24.1,75.9,24.1,0.6767344497607656,0.46071774123821374,4,0.02908977166093208,0.010395376514159381,2,1.3333333333333333,0.5773502691896257,3,distractor,0,NA,1,NA,NA,NA,NA,NA,NA,1,4,1686.1111111111113,662.2946921569427,3,0.050000000000000044,0.02483277404291879,4,-0.04960416666666656,0.03194616239341846,4,391.25,235.63584192562897,4,1461.1111111111113,880.235658681705,3,-0.259,-10.533333333333333
Mix_14_S32,14.133333333333333,69,28,69,0.48979878805677324,0.2712890022540074,6,0.11467293556459182,0.20085782372440203,4,1.1666666666666667,0.408248290463863,6,distractor,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,694,247.48737341529164,2,9,6,918.0555555555557,438.88800984440803,6,0.036666666666666625,0.045680046701669204,6,0.005944444444444456,0.049578015587855274,6,380,205.05413919255568,6,816.6666666666667,482.00968178381373,6,0.18999999999999995,-10.866666666666667
Mix_14_S34,14.8,57,43,57,0.5727113683964384,0.40142614264820575,6,-0.08383581931661904,0.5186458844894517,4,1,0,5,distractor,0,0,3,NA,NA,NA,NA,NA,NA,3,6,1586.6666666666667,744.367740658697,5,0.06399999999999997,0.0942337519151182,5,0.026800000000000157,0.07188456699613778,5,473,217.89446987016444,5,1540,806.3635794244568,5,0.06999999999999995,-10.2
Mix_20_S47,20.2,80,20,80,0.31533860502838607,0.34892826977061825,6,-0.3160762595069164,0.014500248790988613,4,1.3333333333333333,0.5773502691896257,3,distractor,0.25,0.5,4,NA,NA,NA,302,NA,1,5,6,1244.4444444444446,515.4106597152878,3,0.03583333333333346,0.06880528080508559,6,-0.0011111111111109888,0.0844483021779641,6,374.3333333333333,290.9739965472287,6,1305.5555555555557,409.7198681664954,3,0.30000000000000004,-4.800000000000001
Mix_14_S41,14.866666666666667,85,6,85,0.2792561469032057,0.4208891433362715,6,-0.6473808501502791,0.4080662835035553,4,2,1.4142135623730951,2,distractor,0.25,0.5,4,NA,NA,NA,934,NA,1,1,6,1005.5555555555557,463.5477787778479,2,0.06499999999999988,0.08809086218218123,6,0.04912500000000001,0.0763332378092562,6,372,230.24074357072425,6,1000.0000000000001,400.693842672377,2,0.35,-10.133333333333333
Mix_14_S43,14,48,52,48,0.6181077694235589,0.44283482950965514,6,0.13762787723785166,0.13138452745606358,4,1.2,0.44721359549995793,5,distractor,0.5,0.7071067811865476,2,NA,NA,NA,1052,NA,1,3,6,1450,770.9121581318818,5,0.1908333333333334,0.22035010021932533,6,0.06875824175824181,0.09202096853064369,6,421.8333333333333,275.51944879929374,6,1026.6666666666667,765.4519362224298,5,-0.020000000000000018,-11
Mix_20_S51,21.7,40,60,40,0.4179305695989215,0.4235520581784334,4,-0.17602877393420074,0.6502138138918225,4,1,0,3,distractor,0,NA,1,NA,NA,NA,NA,NA,NA,2,4,1211.1111111111113,838.20796500188,3,0.020000000000000018,0.22960110336552533,4,-0.14664839743589742,0.3067137002607671,4,316.25,116.54005034035868,4,500,248.88640871780132,3,-0.09999999999999998,-3.3000000000000007
Mix_14_S46,14,29,71,29,0.5137614678899083,0.6876451266584774,2,NA,NA,NA,1,NA,1,distractor,0,NA,1,NA,NA,NA,NA,NA,NA,0,2,2300,NA,1,0.08750000000000013,0.0106066017177983,2,-0.020750000000000268,0.018738329701443488,2,117,24.041630560342615,2,2300,NA,1,-0.21000000000000002,-11
Mix_20_S53,21.133333333333333,25,73,25,0.5351420831490491,0.359270887975304,4,0.5003702528297895,0.06657410718883185,2,1,0,3,distractor,0.5,0.7071067811865476,2,NA,NA,NA,1018,NA,1,4,4,1250,716.6666666666666,3,-0.042500000000000204,0.07262919523166983,4,-0.11365562957157782,0.045807840916478534,4,261.75,199.16052989150904,4,1183.3333333333335,695.4215348341688,3,-0.25,-3.866666666666667
Mix_20_S54,20.3,47,53,47,0.44864465198027914,0.45334200840928174,6,-0.08629155070104501,0.09824854613772005,4,1.6666666666666667,1.1547005383792515,3,distractor,0,0,3,NA,NA,NA,NA,NA,NA,3,6,1401.851851851852,828.212662298621,3,-0.003333333333333336,0.08801515021101002,6,-0.03726388888888891,0.06764840510287692,6,344.3333333333333,181.6333302746681,6,1372.2222222222222,809.7210310644945,3,-0.030000000000000027,-4.699999999999999
Mix_14_S48,15.1,60,40,60,0.5798100626967765,0.216522908733615,6,0.09495422125159465,0.1109631213179374,4,1.5,0.8366600265340756,6,distractor,1,0,3,NA,NA,NA,773.6666666666666,99.48534230394613,3,9,6,846.7592592592594,382.2788098722793,6,0.06916666666666667,0.12523644304541173,6,0.031157828282828353,0.08184821943242084,6,474.5,84.10410215916939,6,880.5555555555557,350.1454724137553,6,0.09999999999999998,-9.9
Mix_20_S56,20.2,91.5,8.5,91.5,0.5967741935483871,0.5273478298152199,3,NA,NA,NA,1.5,0.7071067811865476,2,distractor,0.5,0.7071067811865476,2,NA,NA,NA,268,NA,1,1,3,1600,1107.8006238589244,2,0.030000000000000027,0.12020815280171335,2,-0.025712962962962882,0.12109858356320706,2,416.5,352.8462838120872,2,1658.3333333333335,1025.304832720494,2,0.41500000000000004,-4.800000000000001
Mix_20_S58,20.133333333333333,82,18,82,0.3716119646776581,0.22129953367433797,4,-0.5182481751824817,0,2,1.3333333333333333,0.5773502691896257,3,distractor,1,0,2,NA,NA,NA,1326.5,82.73149339882606,2,5,4,888.8888888888889,193.17042945237455,3,0.061249999999999805,0.02868652413009771,4,0.028604166666666653,0.022520296915186273,4,616,60.980871317706395,4,900,174.00510848184254,3,0.31999999999999995,-4.866666666666667
Mix_20_S65,20.9,67,33,67,0.5227331374283788,0.4075653624675608,6,0.08373003279382206,0.3061289035210326,4,1.4,0.8944271909999159,5,distractor,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,535.5,47.37615433949868,2,5,6,1184.4444444444446,855.4599513683045,5,0.12916666666666665,0.05508327029749285,6,0.08575000000000006,0.07256288460516318,6,572,119.2359006339953,6,983.3333333333335,767.390962214756,5,0.17000000000000004,-4.100000000000001
Mix_20_S01,22,39,61,39,0.5729021897810219,0.43720737494935635,5,-0.012681159420289856,0.014938788498614715,4,1,0,4,distractor,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,252,NA,1,3,5,1558.3333333333335,832.2771084111262,4,-0.06700000000000017,0.2886303864807031,5,-0.05418333333333321,0.1940248444859003,5,436.4,198.13581200782457,5,1454.1666666666667,878.5905168486037,4,-0.10999999999999999,-3
Mix_20_S02,20.533333333333335,64,36,64,0.44006022268799133,0.39276454264527577,6,-0.1483906864278398,0.19105234575832844,4,1,0,4,distractor,0.5,0.5773502691896257,4,NA,NA,NA,235.5,212.83914113715082,2,5,6,1433.3333333333335,532.1166677977192,4,0.03583333333333324,0.19535651170786872,6,-0.04166512345679011,0.1641678066448133,6,438.5,216.51120063405494,6,1404.1666666666667,561.3104706349638,4,0.14,-4.466666666666665
Mix_20_S04,21.366666666666667,55,45,55,0.5700387257654326,0.22418100753352924,6,0.045620437956204365,0.5020610475208447,4,1.8333333333333333,0.752772652709081,6,distractor,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,144,59.39696961966999,2,11,6,751.8518518518518,527.2502236641626,6,0.19749999999999987,0.10313825672368128,6,0.08523412698412695,0.10436782065323719,6,488.3333333333333,161.35385544407256,6,736.1111111111112,551.3031699393586,6,0.050000000000000044,-3.633333333333333
Mix_14_S01,14,60,40,60,0.21452552243919149,0.2887686623243914,3,NA,NA,NA,2,1.4142135623730951,2,distractor,0,0,2,NA,NA,NA,NA,NA,NA,2,3,266.6666666666667,47.14045207910316,2,-0.01833333333333324,0.002886751345947939,3,-0.10205555555555534,0.0447726768531055,3,444.3333333333333,330.5833228300141,3,241.66666666666669,11.785113019775805,2,0.09999999999999998,-11
Mix_14_S02,14,55,45,55,0.5764532494282154,0.2709626706824491,5,0.046188898094449066,0.24898126098117865,2,1.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,886.6666666666667,756.8804764000428,5,0.008000000000000096,0.082583291288250385,5,-0.005916666666666614,0.09154032960637866,5,289.4,167.26266768170356,5,610,145.58311867948305,5,0.050000000000000044,-11
Mix_20_S19,19.633333333333333,50,50,50,0.5216802486067196,0.18763381532226267,5,-0.12165050568241062,0.03586773527757854,2,1.2,0.44721359549995793,5,distractor,0.75,0.5,4,NA,NA,NA,618,308.608165802527,3,8,5,928.3333333333334,188.89297381203872,5,-0.013000000000000077,0.09189668111526134,5,-0.07284761904761909,0.12338288711932564,5,286.6,249.6854020562676,5,780,375.1666296460814,5,0,-5.366666666666667
Mix_20_S25,21.2,36,64,36,0.6914504721428313,0.22899749124530025,6,0.3597122302158273,0.04879374088579327,4,1.6666666666666667,0.5163977794943222,6,distractor,1,NA,1,NA,NA,NA,252,NA,1,10,6,919.4444444444445,538.3531128117252,6,-0.007000000000000029,0.09941076400470936,5,-0.09337975330516554,0.1635747799552905,5,276.4,226.30134776443555,5,866.6666666666667,500.3332222962347,6,-0.14,-3.8000000000000007
Mix_20_S32,21.633333333333333,38,62,38,0.5498267774892809,0.3665676288705054,6,0.23566112627139668,0.525860233958061,4,1.2,0.44721359549995793,5,distractor,1,0,2,NA,NA,NA,543.5,200.11121907579295,2,5,6,1460,837.3735393744207,5,-0.07166666666666677,0.11298967504452188,6,-0.07741666666666662,0.06406411718826005,6,338.6666666666667,233.98860371109245,6,1413.3333333333335,881.7911065300872,5,-0.12,-3.366666666666667
Mix_20_S37,20.533333333333335,56,43,56,0.3633993937097385,0.18878589246220961,4,0.011639260020554973,0.2219065319992932,2,1.75,1.5,4,distractor,1,NA,1,NA,NA,NA,1251,NA,1,6,4,353.125,164.68878478309728,4,0.11833333333333333,0.1305118130030125,3,0.05822802963320228,0.09655047248301409,3,300,163.82612734237478,3,327.77777777777777,221.31760318935656,3,0.06000000000000005,-4.466666666666665
Mix_20_S39,21.466666666666665,18,74,18,0.5940799086757991,0.2023889987806212,3,NA,NA,NA,1.6666666666666667,1.1547005383792515,3,distractor,1,NA,1,NA,NA,NA,435,NA,1,3,3,450.00000000000006,166.66666666666669,3,-0.025000000000000133,0.10606601717798207,2,-0.07300143678160942,0.15556145994500264,2,450,329.51176003293114,2,508.33333333333337,153.20646925708536,2,-0.32,-3.533333333333335
Mix_20_S42,20.866666666666667,77.5,22.5,77.5,0.3002945142012327,0.26559441610408313,6,-0.32608695652173914,0.11272716801524671,4,1,0,5,distractor,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,969,NA,1,5,6,800,536.5786677335083,5,0.08250000000000002,0.06698880503487135,6,0.026458333333333472,0.07106344485348613,6,377.8333333333333,240.04950878238986,6,800,536.5786677335083,5,0.275,-4.133333333333333
Mix_20_S43,21,63,37,63,0.4773096111077718,0.35893156710691504,5,-0.07979233877258711,0.511773521353521,4,1.25,0.5,4,distractor,0.5,0.7071067811865476,2,NA,NA,NA,1002,NA,1,6,5,1114.5833333333335,648.9441210321751,4,0.0330000000000001,0.0714667754974295,5,0.012016666666666875,0.0518693069165186,5,269.8,139.98642791356596,5,400,186.09038027160253,4,0.13,-4
Mix_14_S28,14.3,50,50,50,0.45268657634168213,0.2864517775279876,5,0.24619168517930817,0.08785538077896966,2,2.25,0.9574271077563381,4,distractor,0,NA,1,NA,NA,NA,NA,NA,NA,7,5,670.1388888888889,465.7915902585142,4,0.020000000000000195,0.04847679857416327,5,-0.04743888888888899,0.081512759832017,5,283.4,196.70231315365868,5,700,446.1771778946947,4,0,-10.7
Mix_14_S29,14.3,50,50,50,0.5318913225091715,0.40941446069721177,3,0.24449871189351655,0.015446138897752548,2,1,0,3,distractor,1,NA,1,NA,NA,NA,585,NA,1,3,3,1155.5555555555557,950.7794073713847,3,0.018333333333333535,0.030550504633038912,3,-0.0028055555555557277,0.06279145008441615,3,327.3333333333333,267.94837811289943,3,977.7777777777778,644.2767981175425,3,0,-10.7
Mix_14_S33,14.433333333333334,78,22,78,0.5385446952649927,0.3731551897751627,6,-0.12558292781832928,0.20530516421848127,4,1.4,0.5477225575051661,5,distractor,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,444,435.57777721091327,2,5,6,1011.6666666666667,551.5004784927913,5,0.04916666666666666,0.14193014713818433,6,-0.004464544513457606,0.09537533284816427,6,405.5,211.05425842659514,6,663.3333333333334,514.8354645472236,5,0.28,-10.566666666666666
Mix_14_S37,15,66,34,66,0.39233870967741935,0.4370211318113467,4,-0.3862049046893872,0.01437012678250247,2,1.3333333333333333,0.5773502691896257,3,distractor,0.5,0.7071067811865476,2,NA,NA,NA,751,NA,1,3,4,669.4444444444445,329.3863542564725,3,0.018749999999999933,0.04497684589504565,4,-0.04210416666666661,0.11419278644840873,4,191.5,96.22716179263871,4,766.6666666666667,480.4511768466526,3,0.16000000000000003,-10
Mix_20_S63,20.366666666666667,30.73,69.28,30.73,0.5419530210213908,0.254334928204183,5,0.2821855495609859,0.2561981091255607,2,1.25,0.5,4,distractor,1,0,3,NA,NA,NA,1190,97.53460924205315,3,5,5,1254.1666666666667,626.3319141371184,4,0.1929999999999999,0.09763452258294696,5,0.13140000000000002,0.0663204133146214,5,426.2,225.85216403656617,5,1162.5,749.2434455774309,4,-0.19269999999999998,-4.633333333333333
Mix_20_S05,19.166666666666668,26,74,26,0.4060860130203196,0.3947559603103034,5,0.33333333333333337,0.32793357968071774,2,1,0,4,distractor,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,868,93.33809511662427,2,4,5,1095.8333333333335,926.5002848233657,4,0.176,0.2545928121530534,5,0.12029761904761918,0.1647882748388865,5,399.8,184.54186516885537,5,1095.8333333333335,926.5002848233657,4,-0.24,-5.833333333333332
Mix_20_S08,21.833333333333332,50,50,50,0.5202442340747582,0.2664108377689439,3,NA,NA,NA,1,0,3,distractor,1,0,2,NA,NA,NA,702,94.75230867899737,2,4,3,755.5555555555557,805.5938688206866,3,-0.08750000000000013,0.053033008588990876,2,-0.08861050724637698,0.026242372317730897,2,500,70.71067811865476,2,755.5555555555557,805.5938688206866,3,0,-3.166666666666668
Mix_14_S04,14,56,44,56,0.39015701204297204,0.026060105638952773,4,-0.26072572598855226,0.010322726732650316,2,1.5,1,4,distractor,1,0,2,NA,NA,NA,985.5,188.79751057680818,2,9,4,695.8333333333334,287.18783374622933,4,0.04999999999999993,0.12569805089976543,4,-0.033485119047619305,0.16734645560402914,4,237.25,224.1656753385763,4,704.1666666666667,271.2710138642958,4,0.06000000000000005,-11
Mix_20_S18,19.366666666666667,68.5,31.5,68.5,0.47874309554589256,0.39493545070013863,4,-0.33660195131565984,0.0029268241657469953,2,1.6666666666666667,1.1547005383792515,3,distractor,0.5,0.7071067811865476,2,NA,NA,NA,2,NA,1,3,4,1118.5185185185187,1043.8581884985497,3,0.07750000000000001,0.19960377417941425,4,0.04645833333333327,0.11764983551325624,4,478.75,184.92768857042475,4,1211.1111111111113,965.5645057761884,3,0.18500000000000005,-5.633333333333333
Mix_20_S21,20.8,52,48,52,0.5358361784652546,0.37961006505781547,6,-0.118705035971223,0.13757131423753924,4,1.2,0.44721359549995793,5,distractor,0.75,0.5,4,NA,NA,NA,384.6666666666667,234.78145866599718,3,7,6,1236.6666666666667,656.9500234670317,5,0.09250000000000003,0.11877499736897489,6,0.03901388888888883,0.08092389114104315,6,441.3333333333333,226.9190751494168,6,1053.3333333333335,798.2098025512397,5,0.020000000000000018,-4.199999999999999
Mix_20_S34,21.6,68,68,32,0.6580905247958412,0.29555651193142807,6,0.3161810495916824,0.07857926358547271,6,1.3333333333333333,0.5163977794943222,6,distractor,1,NA,1,NA,NA,NA,934,NA,1,9,6,1168.0555555555557,599.4538409313994,6,0.0025000000000001688,0.03174114049620762,6,-0.09533333333333327,0.09620989785071199,6,230.33333333333334,252.12986071996048,6,1000.0000000000001,707.9704953048696,6,0.18000000000000005,-3.3999999999999986
Mix_20_S38,20.9,74,74,26,0.4014785252090298,0.3918515826708349,5,-0.10325950163604329,0.11926703920941159,4,1,0,4,distractor,0.5,0.5773502691896257,4,NA,NA,NA,752,777.8174593052023,2,5,5,1162.5,853.573642378303,4,0.07100000000000009,0.11232764575116845,5,0.05176666666666678,0.09990325876121915,5,379.8,211.42658300223272,5,1141.6666666666667,874.8015648007141,4,0.24,-4.100000000000001
