recording_name,age_months,exp_to_target_lang,initial_look,samples_target,samples_distractor,mean_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,mean_number_fixations,total_aoi_switches,mean_duration_of_look,mean_peak_pupil_size_difference,mean_mean_pupil_size_difference,mean_peak_pupil_latency,mean_first_look_dur,exp_to_target_lang_centred,age_months_centred
CompMix36_S01_88272000_F1,46,65,target,690,323,0.6811451135241856,0.7704402515723271,0.013341637380878252,1.7142857142857142,7,1023.8095238095239,0.04357142857142841,0.016174466338259412,466.42857142857144,1059.5238095238096,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,distractor,352,514,0.4064665127020785,-0.28301886792452835,5.551115123125783e-17,1.2,7,946.6666666666667,0.02416666666666667,-0.032374999999999966,319.1666666666667,973.3333333333334,0.15000000000000002,21
CompMix36_S01_88272000_F1,46,65,neither,92,65,0.5859872611464968,NA,NA,1,1,1533.3333333333335,0.16999999999999993,0.13811538461538486,683,1533.3333333333335,0.15000000000000002,21
CompMix36_S04_82812000_F1,39,70,distractor,1064,447,0.7041694242223693,0.4224318658280923,0.26967616695767876,1.2,15,1549.1666666666667,0.023500000000000076,0.0167333333333334,396.4,1488.3333333333335,0.19999999999999996,14
CompMix36_S04_82812000_F1,39,70,target,629,67,0.9037356321839081,NA,NA,1.4,2,1801.111111111111,0.08999999999999986,0.05169285714285712,519.8,1696.6666666666667,0.19999999999999996,14
CompMix36_S21_503484000_F1,37,50,distractor,660,87,0.8835341365461847,0.6729559748427674,0.06226097444409859,1.8333333333333333,4,1197.2222222222222,0.06916666666666667,0.007666666666666784,433,1072.2222222222222,0,12
CompMix36_S21_503484000_F1,37,50,target,225,87,0.7211538461538461,0.3584905660377359,0.017788849841171003,2,3,613.8888888888889,0.125,0.15002777777777773,233.33333333333334,616.6666666666667,0,12
CompMix36_S21_503484000_F1,37,50,neither,434,66,0.868,NA,NA,2.75,5,664.5833333333334,0.15000000000000013,0.06356896551724134,358.25,616.6666666666667,0,12
CompMix36_S25_93468000_F1,37,90,target,1087,102,0.9142136248948697,0.6425576519916142,0.07969490760764152,2.3,3,801.1111111111112,0.1600000000000001,0.10833333333333331,413.1,888.3333333333334,0.4,12
CompMix36_S25_93468000_F1,37,90,distractor,277,60,0.8219584569732937,NA,NA,3,2,557.4074074074074,0.07166666666666677,0.021777777777777896,383,683.3333333333334,0.4,12
CompMix36_S25_93468000_F1,37,90,neither,116,0,1,NA,NA,2,0,966.6666666666667,0.034999999999999254,0.022368421052631593,67,883.3333333333334,0.4,12
CompMix36_S28_502428000_F1,38,40,distractor,286,122,0.7009803921568627,NA,NA,1,2,1588.8888888888891,0.04833333333333364,0.05624999999999991,382.3333333333333,1555.5555555555557,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,target,391,65,0.8574561403508771,NA,NA,1,1,2172.222222222222,-0.029999999999999805,-0.01779166666666665,599.5,2172.222222222222,-0.09999999999999998,13
CompMix36_S28_502428000_F1,38,40,neither,491,68,0.8783542039355993,NA,NA,1.2,2,1463.3333333333335,0.04500000000000015,-0.0283433908045978,249.5,1360,-0.09999999999999998,13
CompMix36_S13_536412000_F2,40.43333333333333,70,target,455,114,0.7996485061511424,0.3616352201257862,0.00444721246029279,1.5,2,1206.25,0.11124999999999985,0.07916666666666661,354,1212.5,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,neither,244,114,0.6815642458100558,NA,NA,1.6666666666666667,3,958.3333333333334,0.12750000000000017,0.07726436781609203,441.5,1016.6666666666667,0.19999999999999996,15.43333333333333
CompMix36_S13_536412000_F2,40.43333333333333,70,distractor,612,251,0.709154113557358,0.15408805031446543,0.022236062301463775,2,7,746.4285714285716,0.0835714285714285,0.024465986394557833,409.2857142857143,476.1904761904762,0.19999999999999996,15.43333333333333
CompMix36_S15_97932000_F2,39.46666666666667,45,neither,198,134,0.5963855421686747,NA,NA,2,1,478.70370370370375,0.04166666666666652,-0.018055555555555564,216.66666666666666,288.8888888888889,-0.04999999999999999,14.466666666666669
CompMix36_S15_97932000_F2,39.46666666666667,45,target,280,115,0.7088607594936709,NA,NA,1.3333333333333333,3,1322.2222222222222,0.11000000000000017,0.097472222222222335,599.6666666666666,1183.3333333333335,-0.04999999999999999,14.466666666666669
CompMix36_S15_97932000_F2,39.46666666666667,45,distractor,353,437,0.4468354430379747,0.08176100628930819,0.19567734825288105,1.3333333333333333,8,750.0000000000001,0.049166666666666435,0.06434722222222226,394.1666666666667,647.2222222222223,-0.04999999999999999,14.466666666666669
CompMix36_S17_94332000_F2,38,40,target,959,216,0.8161702127659575,0.5801886792452831,0.4287006704717647,1.75,6,1398.263888888889,0.11187499999999989,0.0635937499999999,408.375,1487.5,-0.09999999999999998,13
CompMix36_S17_94332000_F2,38,40,distractor,411,475,0.463882618510158,NA,NA,1.6666666666666667,12,746.7592592592594,0.11916666666666671,0.06623611111111131,383.1666666666667,830.5555555555557,-0.09999999999999998,13
CompMix36_S17_94332000_F2,38,40,neither,144,144,0.5,NA,NA,2,4,600,0.0924999999999998,-0.024970306513410145,258,375,-0.09999999999999998,13
CompMix36_S24_545388000_F2,41,40,target,508,274,0.649616368286445,NA,NA,1.6,9,1205,0.16500000000000004,0.10633333333333325,370,1000.0000000000001,-0.09999999999999998,16
CompMix36_S24_545388000_F2,41,40,distractor,973,556,0.6363636363636364,-0.06918238993710692,0.13654221792816587,1.2,14,1494.1666666666667,0.02400000000000002,-0.0237000000000001,318.3,1378.3333333333335,-0.09999999999999998,16
CompMix36_S30_109320000_F2,40.2,60,target,543,651,0.4547738693467337,-0.0020964360587002093,0.05346528512971095,1.125,9,975.0000000000001,0.06062500000000015,0.03114583333333326,395.5,1043.75,0.09999999999999998,15.200000000000003
CompMix36_S30_109320000_F2,40.2,60,distractor,517,361,0.5888382687927107,0.24213836477987424,0.06670818690439122,1.1666666666666667,9,1250,0.04333333333333337,0.02175000000000001,463.3333333333333,1388.888888888889,0.09999999999999998,15.200000000000003
CompMix36_S30_109320000_F2,40.2,60,neither,163,136,0.5451505016722408,NA,NA,1.5,2,1029.1666666666667,0.1399999999999999,0.06554166666666683,358,1133.3333333333335,0.09999999999999998,15.200000000000003
CompMix36_S03_86508000_E1,43.2,30,distractor,827,109,0.8835470085470085,NA,NA,1.3333333333333333,5,1920.8333333333335,0.08250000000000002,0.04298106060606055,505.1666666666667,1766.6666666666667,-0.2,18.200000000000003
