recording_name,age_months,exp_to_target_lang,fre_exp,eng_exp,mean_prop_looking,sd_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,mean_number_fixations,sd_number_fixations,prop_shift_distractor_initial,sd_prop_shift_distractor_initial,mean_prop_shift_target_initial,sd_prop_shift_target_initial,mean_RT,sd_RT,total_aoi_switches,mean_duration_of_look,sd_duration_of_look,mean_peak_pupil_size_difference,sd_peak_pupil_size_difference,mean_mean_pupil_size_difference,sd_mean_pupil_size_difference,mean_peak_pupil_latency,sd_peak_pupil_latencey,mean_first_look_dur,sd_first_look_dur,exp_to_target_lang_centred,age_months_centred
CogMisp24_S59_552972000,26,39,58,39,0.6308485281611056,0.3010185854458921,0.2238993710691824,0.32476765153969095,2.888888888888889,1.536590742882148,1,0,1,0,1004.3333333333334,318.3116921090605,9,417.5308641975309,104.17189287301171,0.11681818181818183,0.09119409869264379,0.06845654311881494,0.060303717656946663,446.54545454545456,163.93984484338372,285.7142857142857,63.412648747422786,-0.10999999999999999,1
CogMisp24_S70_571500000,24,100,0,100,0.6225227783481875,0.2297542880191593,0.23742138364779874,0.3165638958556398,1.3333333333333333,0.6513389472789296,1,0,0.3333333333333333,0.5163977794943222,538.1666666666666,273.3052627862601,18,1289.1203703703704,507.9978447119133,0.25875000000000004,0.17661109045789633,0.20566987179487176,0.12832050567368136,417.6666666666667,174.6806610169922,1320.8333333333335,485.81520575360156,0.5,-1
CogMisp24_S71_581112000,25,93,7,93,0.8059197821893189,0.14847434974830603,0.608805031446541,0.14781881303569902,1.1818181818181819,0.40451991747794525,1,0,0.2,0.44721359549995793,241.6,142.04154321887663,12,1918.939393939394,595.9829754873095,0.1554545454545454,0.15304336877915603,0.08496322011322013,0.15375819495126408,522.2727272727273,89.23910679639383,1862.1212121212122,705.8521606733756,0.43000000000000005,0
CogMisp24_S74_535680000,25,96,4,96,0.7044160371656458,0.23774062075494468,0.35534591194968557,0.22319414844028113,1.1818181818181819,0.40451991747794525,0.8,0.44721359549995793,0.6666666666666666,0.5773502691896257,359,197.31869315061527,12,1408.3333333333335,721.3894771742778,0.07181818181818195,0.2966418103308495,0.04805555555555556,0.14952831754190776,479.90909090909093,168.39029339332748,1339.3939393939395,779.7532632282802,0.45999999999999996,0
CogMisp24_S08_549144000,27,63,37,63,0.7443839152087208,0.32258647179147315,0.5550314465408805,0.41946668066822096,1.625,0.5175491695067657,1,0,0.5,0.5773502691896257,132.66666666666666,82.37313477908518,4,986.4583333333334,349.31729050312475,0.21750000000000014,0.13580448130624082,0.18905233200707328,0.1218465650385807,426.75,141.3655342921827,1033.3333333333335,427.89629362175845,0.13,2
CogMisp24_S11_544008000,24,98,2,98,0.6258576364203574,0.24157987345123277,0.15723270440251572,0.2880750312100324,1.6666666666666667,0.7071067811865476,1,0,0,0,238.5,23.811761799581316,17,848.4567901234568,502.52662371717344,0.22111111111111104,0.3331082573445322,0.1425524644576369,0.21241204695548788,440.1111111111111,143.68754681986573,587.5,466.2200243566455,0.48,-1
CogMisp24_S16_528516000,30,81,19,81,0.6622068097684557,0.2447872022056323,0.24764150943396226,0.31903131784350236,1.4,0.5163977794943222,1,0,0.4,0.5477225575051661,593.3333333333334,258.0413403571864,14,1285,716.6537466535653,0.25049999999999994,0.08629568033479096,0.17250833333333326,0.05330045934182346,429.4,104.52984688063448,878.3333333333334,456.8443828301458,0.31000000000000005,5
CogMisp24_S17_542916000,24,59,41,59,0.5947433040367472,0.28506847624608606,0.159853249475891,0.24777665940404223,1.8181818181818181,0.9816498172140428,0.6666666666666666,0.5773502691896257,0.5,0.5345224838248488,339,188.09040379562165,18,926.3888888888889,514.7526524554065,0.2370833333333333,0.3294586353766469,0.07650269629795496,0.25149375971577526,406.4166666666667,172.41886541650584,593.3333333333334,492.7373777752102,0.08999999999999997,-1
CogMisp24_S26_549528000,28,89,11,89,0.8036861535831378,0.2541422943244917,0.6042976939203355,0.39905655496337206,1.0833333333333333,0.28867513459481287,0.5,0.7071067811865476,0.7,0.48304589153964794,39,NA,7,2037.5,762.3768322446808,0.17041666666666663,0.09654152035013307,0.11406677350427352,0.07800571304809974,483.0833333333333,128.93582500491075,2065.277777777778,713.4161072526622,0.39,3
CogMisp24_S30_561996000,28,72,24,72,0.8134823894848484,0.18497795633046535,0.4528301886792453,0.29225551829944585,1.7142857142857142,0.9511897312113419,1,NA,0.5,0.7071067811865476,188,NA,5,1065.4761904761906,684.4913725924083,0.177857142857143,0.13579571491941952,0.059462027914614204,0.0912575148880946,475.85714285714283,130.9292793475783,447.61904761904765,210.69298609952443,0.21999999999999997,3
CogMisp24_S31_533496000,27,67,33,67,0.5279894272653554,0.41260524642505025,0.02767295597484276,0.47291434165597507,1.375,0.7440238091428449,1,0,1,0,585.3333333333334,342.387889193918,7,1493.75,932.5650536906685,0.15444444444444436,0.11187170231018108,0.10743055555555554,0.08291511200385074,429.3333333333333,211.3758500869955,1327.0833333333335,1020.423873178387,0.17000000000000004,2
CogMisp24_S34_543228000,25,100,0,100,0.7323991999099638,0.2412326363566877,0.4952830188679246,0.3674615620313796,1.2,0.4216370213557839,1,0,0.25,0.5,338.25,191.2247804722669,10,1555.8333333333335,836.1254151600364,0.196,0.14276632033579287,0.1205447681704261,0.09031829880985491,444.4,161.43330236079268,1459.2592592592594,726.7274014714064,0.5,0
CogMisp24_S47_581820000,26,100,0,100,0.7735406946756159,0.1961349340779752,0.5115303983228512,0.25375459063055544,1.4166666666666667,0.5149286505444373,1,0,0.6666666666666666,0.5773502691896257,171.6,149.65727513221668,14,1496.5277777777778,760.7434091149161,0.30136363636363633,0.22662845043254065,0.19504767646146962,0.14046930361923712,488.8181818181818,132.16491076062374,1218.0555555555557,752.6538345167681,0.5,1
CogMisp24_S50_570504000,25,62,38,62,0.6148386364170676,0.2831578096481581,0.25157232704402516,0.10648574506666914,1.4545454545454546,0.5222329678670935,0.8333333333333334,0.408248290463863,0.3333333333333333,0.5773502691896257,348.4,105.36270687487105,16,1065.1515151515152,637.0594140028833,0.197,0.14729411242665308,0.1761065626230327,0.12188030309939953,353,168.8858917862722,1170,610.9494735731092,0.12,0
