recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
1335_potter_remix_26,26,0.7074068261175063,0.18577680369706412,6,NA,NA,NA,1.1666666666666667,0.408248290463863,6,0.3333333333333333,0.5773502691896257,3,1,NA,1,590,NA,1,6,6,930.5555555555557,440.8850526266791,6,922.2222222222223,447.29640516560613,6,1877.7777777777778,870.6744937541664,1
1336_potter_remix_19,19,0.365124716553288,0.37312006553700433,7,-0.27987421383647804,0.6937309336355848,6,1,0,4,0.3333333333333333,0.5773502691896257,3,0,0,3,NA,NA,NA,3,7,883.3333333333334,483.620604284897,4,883.3333333333334,483.620604284897,4,1766.6666666666667,967.241208569794,-6
1337_potter_remix_18,18,0.5063923549217667,0.4977226567520169,6,NA,NA,NA,1,0,4,1,0,2,0.25,0.5,4,340,NA,1,1,6,845.8333333333334,425.217809111031,4,845.8333333333334,425.217809111031,4,1691.6666666666667,850.435618222062,-7
1338_potter_remix_20,20,0.697170855065592,0.3728713198842044,3,NA,NA,NA,1,0,3,1,0,2,1,NA,1,1140,NA,1,2,3,816.6666666666667,485.05440702850836,3,816.6666666666667,485.05440702850836,3,1633.3333333333335,970.1088140570167,-5
1339_potter_remix_19,19,0.7919237637582089,0.1813505742883992,7,0.449685534591195,0.10414456274320588,6,1.4285714285714286,0.5345224838248488,7,0.25,0.5,4,1,NA,1,440,NA,1,8,7,861.9047619047619,451.8187818586249,7,833.3333333333334,471.79719434582546,7,1819.0476190476193,835.0775397258014,-6
1341_potter_remix_18,18,0.7962068794909268,0.25378155757635373,8,NA,NA,NA,1,0,8,1,0,3,0.75,0.5,4,848.3333333333334,310.5774192264037,3,4,8,1141.6666666666667,385.552582212587,8,1141.6666666666667,385.552582212587,8,2283.3333333333335,771.105164425174,-7
1342_potter_remix_26,26,0.8044354838709677,0.2535197082196476,4,NA,NA,NA,1,0,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,2,4,1050,506.4400077812588,4,1050,506.4400077812588,4,2100,1012.8800155625177,1
1803_garrison_bergelson_2020_17,17,0.579052409838366,0.2652619594149501,16,0.17338918798775066,0.20537961445101224,8,1.2666666666666666,0.45773770821706344,15,0.5555555555555556,0.5270462766947299,9,0.8571428571428571,0.3779644730092272,7,556.6666666666666,515.9134294304295,6,18,16,931.6666666666667,493.260129703948,15,954.4444444444445,504.6791636287932,15,118.4,56.20981103991417,-8
1804_garrison_bergelson_2020_16,16,0.613154922346297,0.18826242173394953,16,0.22346698113207547,0.14233669915149083,8,1.3125,0.47871355387816905,16,0.2222222222222222,0.44095855184409843,9,1,0,7,432.85714285714283,227.17205562556072,7,25,16,895.8333333333334,414.0025943736925,16,884.375,431.9837424067064,16,111.375,47.41149649610313,-9
1805_garrison_bergelson_2020_15,15,0.5564178827028534,0.24567444853254314,14,0.13974056603773585,0.2884027169028061,8,1.3571428571428572,0.6333236937766509,14,0,0,7,1,0,7,372.14285714285717,169.99649856338078,7,20,14,789.2857142857143,481.40007451809953,14,794.0476190476192,479.74383936028966,14,98.14285714285714,55.20570921263787,-10
1806_garrison_bergelson_2020_15,15,0.4400388050621711,0.35247334682475207,16,-0.11733490566037735,0.27158434720421726,8,1.25,0.621581560508061,12,0.25,0.4629100498862757,8,0.375,0.5175491695067657,8,531.6666666666666,401.8187817080398,3,14,16,856.0185185185186,511.49775852605575,12,861.1111111111112,513.520889257393,12,104.16666666666667,60.62977566319784,-10
1807_garrison_bergelson_2020_17,17,0.6696835051276399,0.29417317461382614,16,0.34388850196277065,0.2673038104745368,8,1.1333333333333333,0.3518657752744984,15,0.5555555555555556,0.5270462766947299,9,0.8333333333333334,0.408248290463863,6,385,549.8295190329453,5,12,16,1093.3333333333335,543.8709726770081,15,1105.5555555555557,527.0713735389476,15,132.66666666666666,63.24856482467371,-8
1808_garrison_bergelson_2020_17,17,0.5614127444221688,0.2720612411658516,15,0.15508587324625062,0.18723068935865178,8,1.2857142857142858,0.4688072309384954,14,0.2222222222222222,0.44095855184409843,9,0.8333333333333334,0.408248290463863,6,395,216.072904363319,5,17,15,819.047619047619,412.00505882594274,14,760.7142857142858,455.4797950643296,14,105.28571428571429,48.855247055307835,-8
