recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
215_weisleder_stl_24,24,0.6346936721295954,0.31840795153522805,34,NA,NA,NA,1.096774193548387,0.30053715351876426,31,0.7272727272727273,0.46709936649691375,11,0.8571428571428571,0.35856858280031806,21,606.6666666666666,222.45290314501867,18,30,34,1100.8064516129034,519.5143513805202,31,1104.8387096774195,517.2969909268594,31,2224.731182795699,1013.0250898847283,-1
216_weisleder_stl_18,18,0.6144758693958147,0.4219705805313675,22,NA,NA,NA,1.0625,0.25,16,0.8888888888888888,0.3333333333333333,9,0.4166666666666667,0.5149286505444373,12,895,377.6572520156339,5,8,22,1344.2708333333335,417.6069252077622,16,1351.0416666666667,404.39569684855655,16,2702.0833333333335,808.7913936971131,-7
217_weisleder_stl_25,25,0.5204244771737325,0.2620147299163782,26,NA,NA,NA,1.08,0.27688746209726917,25,0.25,0.4629100498862757,8,0.9411764705882353,0.24253562503633297,17,500.9375,306.45401367905106,16,29,26,833.6666666666667,432.8421361360453,25,814.6666666666667,451.3180286261152,25,1705.3333333333335,854.2746544204534,0
218_weisleder_stl_19,19,0.4523763484051325,0.3624437461446954,23,NA,NA,NA,1.0625,0.25,16,0.5714285714285714,0.5345224838248488,7,0.4666666666666667,0.5163977794943222,15,768.5714285714286,207.3787655015633,7,16,23,1045.3125,536.7423061774997,16,1047.9166666666667,532.8426562281743,16,2095.8333333333335,1065.6853124563486,-6
219_weisleder_stl_24,24,0.5040714661633341,0.26485284263180253,34,NA,NA,NA,1.1612903225806452,0.373878250552983,31,0.2777777777777778,0.4608885989624768,18,0.9333333333333333,0.2581988897471611,15,427.5,155.89382481479058,14,37,34,761.8279569892474,405.29352756816877,31,768.2795698924732,407.3253963290574,31,1579.5698924731184,789.2648909588963,-1
220_weisleder_stl_19,19,0.49801555487731874,0.3266271468441405,24,NA,NA,NA,1,0,21,0.7,0.48304589153964794,10,0.6363636363636364,0.504524979109513,11,890,481.10116746203533,7,19,24,895.2380952380953,522.231931689542,21,895.2380952380953,522.231931689542,21,1790.4761904761906,1044.463863379084,-6
221_weisleder_stl_25,25,0.5068736057122054,0.2504300190276976,27,NA,NA,NA,1.2083333333333333,0.4148511169990534,24,0.23076923076923078,0.4385290096535146,13,0.8571428571428571,0.36313651960128146,14,806.6666666666666,274.55197664338147,12,33,27,779.5138888888889,395.42201487400894,24,793.0555555555557,385.82732072401154,24,1588.888888888889,767.8105308421746,0
222_weisleder_stl_19,19,0.7273426034764113,0.2961657390903717,22,NA,NA,NA,1.05,0.22360679774997896,20,0.8333333333333334,0.3892494720807615,12,0.8,0.4216370213557839,10,640,234.13976290119663,8,15,22,1317.5,425.450397738294,20,1329.1666666666667,403.0176740715413,20,2658.3333333333335,806.0353481430826,-6
223_weisleder_stl_24,24,0.7001170908297317,0.28723922387888196,34,NA,NA,NA,1.09375,0.29614458108029906,32,0.47058823529411764,0.5144957554275266,17,1,0,17,469.4117647058824,164.23004400212884,17,24,34,1143.75,517.1390487082992,32,1153.6458333333335,507.4310584915588,32,2321.875,997.1863418430995,-1
224_weisleder_stl_19,19,0.6153250630615218,0.3560283937434667,24,NA,NA,NA,1,0,20,0.8,0.4216370213557839,10,0.7142857142857143,0.4688072309384954,14,847.5,377.1328236399832,10,15,24,1217.5,427.67818009689734,20,1217.5,427.67818009689734,20,2435,855.3563601937947,-6
225_weisleder_stl_25,25,0.7757208939628046,0.24383047745573266,34,NA,NA,NA,1.0303030303030303,0.17407765595569785,33,0.7692307692307693,0.4385290096535146,13,0.9523809523809523,0.21821789023599236,21,475,245.80694178883343,20,19,34,1301.767676767677,406.4142700774161,33,1307.0707070707072,395.6146392146564,33,2614.1414141414143,791.2292784293128,0
540_fmw_2013_18,18,0.5864803317474921,0.34667592854319,28,0.16578223270440248,0.12245666310127494,8,1.0434782608695652,0.20851441405707477,23,0.7272727272727273,0.46709936649691375,11,0.5625,0.51234753829798,16,912.2222222222222,350.7680065861829,9,16,28,1130.072463768116,431.89401941364054,23,1115.9420289855072,450.65828004763665,23,2288.4057971014495,846.538328119269,-7
541_fmw_2013_18,18,0.5451959693082894,0.34404210382980477,25,0.1264740566037736,0.21795329142363393,8,1.0476190476190477,0.21821789023599236,21,0.4,0.5163977794943222,10,0.7142857142857143,0.4688072309384954,14,700,346.04912945996557,10,19,25,1021.4285714285714,539.2418251876852,21,1019.0476190476192,541.6868128121666,21,2047.6190476190477,1074.0148679175427,-7
542_fmw_2013_24,24,0.6215859348040862,0.36173916159076325,33,0.25425838574423476,0.39880728100969665,12,1.037037037037037,0.19245008972987526,27,0.9230769230769231,0.2773500981126146,13,0.5789473684210527,0.5072572735017881,19,726.3636363636364,220.33033051637386,11,20,33,1227.7777777777778,439.33224388021023,27,1237.6543209876543,425.5110701049892,27,2475.3086419753085,851.0221402099784,-1
543_fmw_2013_18,18,0.6479952558392259,0.36842118796490386,13,0.2818396226415094,0.13626539207068702,8,1.0833333333333333,0.28867513459481287,12,0.4,0.5477225575051661,5,0.875,0.3535533905932738,8,497.14285714285717,281.6300342479051,7,8,13,1099.3055555555557,598.3611702536689,12,1070.8333333333335,633.5376464701601,12,2255.5555555555557,1156.128451614697,-7
544_fmw_2013_19,19,0.40581668073928134,0.43523472462657053,9,-0.5790094339622642,0.05341863987219872,4,1,0,5,0.6666666666666666,0.5773502691896257,3,0.25,0.5,4,415,NA,1,3,9,1123.3333333333335,531.5856782620591,5,1123.3333333333335,531.5856782620591,5,2246.666666666667,1063.1713565241182,-6
