recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
119_pomper_saffran_2016_43,7,black,43,119,black,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
120_pomper_saffran_2016_42,11,red,42,120,red,target,24,71,0.25263157894736843,NA,1,NA,0,NA,1,250.00000000000003,250.00000000000003,500.00000000000006,17
120_pomper_saffran_2016_42,12,orange,42,120,orange,target,51,7,0.8793103448275862,NA,1,NA,0,NA,0,733.3333333333334,733.3333333333334,1466.6666666666667,17
121_pomper_saffran_2016_42,2,blue,42,121,blue,target,84,13,0.865979381443299,NA,1,NA,1,NA,1,1400,1400,2800,17
121_pomper_saffran_2016_42,5,yellow,42,121,yellow,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,17
121_pomper_saffran_2016_42,7,white,42,121,white,target,83,16,0.8383838383838383,NA,1,NA,0,NA,1,1250,1250,2500,17
121_pomper_saffran_2016_42,8,blue,42,121,blue,target,72,25,0.7422680412371134,NA,1,NA,0,NA,1,1066.6666666666667,1066.6666666666667,2133.3333333333335,17
122_pomper_saffran_2016_44,2,yellow,44,122,yellow,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
122_pomper_saffran_2016_44,4,orange,44,122,orange,target,83,17,0.83,NA,1,NA,0,NA,1,1316.6666666666667,1316.6666666666667,2633.3333333333335,19
122_pomper_saffran_2016_44,5,white,44,122,white,target,95,6,0.9405940594059405,NA,1,NA,1,NA,0,1583.3333333333335,1583.3333333333335,3166.666666666667,19
122_pomper_saffran_2016_44,8,red,44,122,red,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
