recording_name,trial_number,target_word,age_months,subject_id,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred
122_pomper_saffran_2016_44,8,red,44,122,red,target,106,0,1,0.5943396226415094,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,19
123_pomper_saffran_2016_43,9,black,43,123,black,distractor,83,20,0.8058252427184466,NA,1,1,NA,590,1,1383.3333333333335,1383.3333333333335,2766.666666666667,18
123_pomper_saffran_2016_43,10,white,43,123,white,target,74,27,0.7326732673267327,0.5188679245283019,1,NA,0,NA,1,1083.3333333333335,1083.3333333333335,2166.666666666667,18
123_pomper_saffran_2016_43,11,green,43,123,green,target,68,32,0.68,0.4150943396226415,1,NA,1,NA,1,1050,1050,2100,18
123_pomper_saffran_2016_43,12,blue,43,123,blue,distractor,74,29,0.7184466019417476,NA,1,1,NA,815,1,1233.3333333333335,1233.3333333333335,2466.666666666667,18
123_pomper_saffran_2016_43,13,brown,43,123,brown,target,82,19,0.8118811881188119,0.5188679245283019,2,NA,0,NA,2,683.3333333333334,783.3333333333334,1566.6666666666667,18
123_pomper_saffran_2016_43,14,blue,43,123,blue,target,63,35,0.6428571428571429,NA,1,NA,0,NA,1,1050,1050,2100,18
123_pomper_saffran_2016_43,15,red,43,123,red,distractor,79,24,0.7669902912621359,0.4433962264150943,1,1,NA,690,1,1316.6666666666667,1316.6666666666667,2633.3333333333335,18
123_pomper_saffran_2016_43,16,black,43,123,black,target,106,0,1,NA,1,NA,1,NA,0,1766.6666666666667,1766.6666666666667,3533.3333333333335,18
124_pomper_saffran_2016_42,1,yellow,42,124,yellow,neither,55,25,0.6875,NA,2,NA,NA,NA,2,458.33333333333337,400,1033.3333333333335,17
124_pomper_saffran_2016_42,2,brown,42,124,brown,distractor,59,37,0.6145833333333334,NA,2,1,NA,190,2,491.66666666666674,566.6666666666667,1133.3333333333335,17
124_pomper_saffran_2016_42,3,red,42,124,red,distractor,62,7,0.8985507246376812,0.5849056603773585,2,1,NA,240,0,516.6666666666667,666.6666666666667,1333.3333333333335,17
124_pomper_saffran_2016_42,4,orange,42,124,orange,target,48,42,0.5333333333333333,NA,2,NA,0,NA,3,383.33333333333337,266.6666666666667,1000.0000000000001,17
124_pomper_saffran_2016_42,7,green,42,124,green,target,93,0,1,0.8113207547169812,2,NA,1,NA,0,775,800,1600,17
124_pomper_saffran_2016_42,8,yellow,42,124,yellow,distractor,94,9,0.912621359223301,NA,1,1,NA,315,0,1566.6666666666667,1566.6666666666667,3133.3333333333335,17
