recording_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred
108_pomper_saffran_2016_46,46,0.802024827024827,0.15840348750203226,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,565,402.33692348577705,3,2,3,1372.2222222222224,277.5554665954844,3,1372.2222222222224,277.5554665954844,3,2744.444444444445,555.1109331909688,21
109_pomper_saffran_2016_43,43,0.8252457415293674,0.1724915325567584,5,0.3537735849056604,0.006670818690439126,2,1.2,0.44721359549995793,5,NA,NA,NA,1,0,5,345,195.57607215607945,5,4,5,1253.3333333333335,412.88281899616777,5,1206.6666666666667,491.9631874213535,5,2600,694.8221195225277,18
110_pomper_saffran_2016_47,47,0.9100989910527317,0.15476627422848452,4,0.6603773584905661,1.1102230246251565e-16,2,1,0,4,NA,NA,NA,1,0,4,315,406.71447806374766,4,1,4,1566.6666666666667,271.1429853758318,4,1566.6666666666667,271.1429853758318,4,3133.3333333333335,542.2859707516636,22
111_pomper_saffran_2016_42,42,0.7791778558149143,0.07887578224349007,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,427.5,123.74368670764582,2,2,2,1283.3333333333335,212.13203435596427,2,1283.3333333333335,212.13203435596427,2,2566.666666666667,424.26406871192853,17
112_pomper_saffran_2016_43,43,0.8034188034188035,0.21311893401353307,3,0.339622641509434,0.08004982428526948,2,1,0,3,NA,NA,NA,1,0,3,115,25,3,2,3,1005.5555555555555,250.18511664883783,3,1005.5555555555555,250.18511664883783,3,2011.111111111111,500.37023329767567,18
113_pomper_saffran_2016_42,42,0.7303419924779148,0.1655158050815844,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,423.3333333333333,208.16659994661327,3,3,3,1166.6666666666667,434.2938073598461,3,1166.6666666666667,434.2938073598461,3,2333.3333333333335,868.5876147196922,17
114_pomper_saffran_2016_42,42,0.754247572815534,0.24036681416429073,4,NA,NA,NA,1,0,4,NA,NA,NA,0.75,0.5,4,406.6666666666667,28.867513459481287,3,4,4,1300,411.41130181274707,4,1300,411.41130181274707,4,2600,822.8226036254941,17
115_pomper_saffran_2016_42,42,0.7294489648218718,0.1317796107912086,5,0.3113207547169812,0.040024912142634796,2,1,0,5,NA,NA,NA,1,0,5,565,182.8592354790974,5,6,5,1233.3333333333335,256.30927498716164,5,1233.3333333333335,256.30927498716164,5,2466.666666666667,512.6185499743233,17
116_pomper_saffran_2016_45,45,0.9024451845040242,0.1694269029118348,4,0.6084905660377359,0.04669573083307396,2,1.25,0.5,4,NA,NA,NA,1,0,4,221.25,179.55384522012702,4,3,4,1368.75,574.9547083611601,4,1433.3333333333335,446.17717789469475,4,2866.666666666667,892.3543557893895,20
117_pomper_saffran_2016_43,43,0.9517130321135175,0.04070696749114509,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,208.75,94.37293044088437,4,0,4,1637.5000000000002,62.91528696058969,4,1637.5000000000002,62.91528696058969,4,3275.0000000000005,125.83057392117938,18
